indice,date_partido,local,visita,prediccion,correcto,multiplicador
espania,27/08/2017,Eibar,Ath Bilbao,-,0,1.12
espania,27/08/2017,Espanol,Leganes,-,0,1.14
espania,27/08/2017,Getafe,Sevilla,-,0,1.13
espania,27/08/2017,Real Madrid,Valencia,-,0,1.2
espania,08/09/2017,Leganes,Getafe,-,0,1.11
espania,09/09/2017,Valencia,Ath Madrid,-,0,1.16
espania,09/09/2017,Sevilla,Eibar,-,0,1.25
espania,09/09/2017,Barcelona,Espanol,Barcelona,1,1.08
espania,09/09/2017,Real Madrid,Levante,Real Madrid,0,1.02
espania,10/09/2017,Celta,Alaves,-,0,1.01
espania,10/09/2017,Villarreal,Betis,-,0,1.12
espania,10/09/2017,Ath Bilbao,Girona,-,0,1.03
espania,10/09/2017,La Coruna,Sociedad,-,0,1.21
espania,11/09/2017,Malaga,Las Palmas,-,0,1.26
espania,15/09/2017,Eibar,Leganes,-,0,1.05
espania,16/09/2017,Getafe,Barcelona,Barcelona,1,1.12
espania,16/09/2017,Betis,La Coruna,-,0,1
espania,16/09/2017,Ath Madrid,Malaga,Ath Madrid,1,1.28
espania,16/09/2017,Levante,Valencia,-,0,1.17
espania,17/09/2017,Las Palmas,Ath Bilbao,-,0,1.12
espania,17/09/2017,Sociedad,Real Madrid,-,0,1.19
espania,17/09/2017,Girona,Sevilla,-,0,1.06
espania,17/09/2017,Alaves,Villarreal,-,0,1.31
espania,18/09/2017,Espanol,Celta,-,0,1.18
espania,19/09/2017,Barcelona,Eibar,Barcelona,1,1.15
espania,19/09/2017,Valencia,Malaga,-,0,1.21
espania,20/09/2017,La Coruna,Alaves,-,0,1.26
espania,20/09/2017,Ath Bilbao,Ath Madrid,-,0,1.25
espania,20/09/2017,Real Madrid,Betis,Real Madrid,0,1.18
espania,20/09/2017,Leganes,Girona,-,0,1.22
espania,20/09/2017,Sevilla,Las Palmas,-,0,1.02
espania,21/09/2017,Villarreal,Espanol,-,0,1.2
espania,21/09/2017,Celta,Getafe,-,0,1.29
espania,21/09/2017,Levante,Sociedad,-,0,1.26
espania,23/09/2017,Malaga,Ath Bilbao,-,0,1.21
espania,23/09/2017,Girona,Barcelona,Barcelona,1,1.21
espania,23/09/2017,Alaves,Real Madrid,Real Madrid,1,1.01
espania,23/09/2017,Ath Madrid,Sevilla,-,0,1.26
espania,24/09/2017,Eibar,Celta,-,0,1.07
espania,24/09/2017,Espanol,La Coruna,-,0,1.04
espania,24/09/2017,Las Palmas,Leganes,-,0,1.3
espania,24/09/2017,Sociedad,Valencia,-,0,1.16
espania,24/09/2017,Getafe,Villarreal,-,0,1.08
espania,25/09/2017,Betis,Levante,-,0,1.19
espania,29/09/2017,Celta,Girona,-,0,1.28
espania,30/09/2017,Levante,Alaves,-,0,1.13
espania,30/09/2017,Leganes,Ath Madrid,Ath Madrid,0,1.22
espania,30/09/2017,La Coruna,Getafe,-,0,1.3
espania,30/09/2017,Sevilla,Malaga,-,0,1.07
espania,01/10/2017,Valencia,Ath Bilbao,-,0,1.05
espania,01/10/2017,Sociedad,Betis,-,0,1.27
espania,01/10/2017,Villarreal,Eibar,-,0,1.05
espania,01/10/2017,Real Madrid,Espanol,Real Madrid,1,1.3
espania,01/10/2017,Barcelona,Las Palmas,Barcelona,1,1.22
espania,13/10/2017,Espanol,Levante,-,0,1.3
espania,14/10/2017,Ath Madrid,Barcelona,-,0,1.25
espania,14/10/2017,Getafe,Real Madrid,-,0,1.29
espania,14/10/2017,Ath Bilbao,Sevilla,-,0,1.26
espania,14/10/2017,Alaves,Sociedad,-,0,1.11
espania,15/10/2017,Eibar,La Coruna,-,0,1.14
espania,15/10/2017,Malaga,Leganes,-,0,1.2
espania,15/10/2017,Betis,Valencia,-,0,1.06
espania,15/10/2017,Girona,Villarreal,-,0,1.24
espania,16/10/2017,Las Palmas,Celta,-,0,1.14
espania,21/10/2017,Betis,Alaves,-,0,1.29
espania,21/10/2017,Levante,Getafe,-,0,1.12
espania,21/10/2017,Barcelona,Malaga,Barcelona,1,1.07
espania,21/10/2017,Valencia,Sevilla,-,0,1.17
espania,22/10/2017,Leganes,Ath Bilbao,-,0,1.25
espania,22/10/2017,Celta,Ath Madrid,-,0,1.3
espania,22/10/2017,Real Madrid,Eibar,Real Madrid,1,1.05
espania,22/10/2017,Villarreal,Las Palmas,-,0,1.29
espania,23/10/2017,Sociedad,Espanol,-,0,1.29
espania,23/10/2017,La Coruna,Girona,-,0,1.25
espania,28/10/2017,Ath Bilbao,Barcelona,Barcelona,1,1.1
espania,28/10/2017,Sevilla,Leganes,-,0,1.26
espania,28/10/2017,Alaves,Valencia,-,0,1.07
espania,28/10/2017,Ath Madrid,Villarreal,-,0,1.12
espania,29/10/2017,Malaga,Celta,-,0,1.08
espania,29/10/2017,Eibar,Levante,-,0,1.27
espania,29/10/2017,Girona,Real Madrid,Real Madrid,0,1.19
espania,29/10/2017,Getafe,Sociedad,-,0,1.03
espania,30/10/2017,Espanol,Betis,-,0,1.05
espania,30/10/2017,Las Palmas,La Coruna,-,0,1.03
espania,03/11/2017,Betis,Getafe,-,0,1.08
espania,04/11/2017,La Coruna,Ath Madrid,Ath Madrid,1,1.05
espania,04/11/2017,Alaves,Espanol,-,0,1.16
espania,04/11/2017,Valencia,Leganes,-,0,1.3
espania,04/11/2017,Barcelona,Sevilla,Barcelona,1,1.14
espania,05/11/2017,Celta,Ath Bilbao,-,0,1.09
espania,05/11/2017,Sociedad,Eibar,-,0,1.03
espania,05/11/2017,Levante,Girona,-,0,1.04
espania,05/11/2017,Real Madrid,Las Palmas,Real Madrid,1,1.03
espania,05/11/2017,Villarreal,Malaga,-,0,1.02
espania,17/11/2017,Girona,Sociedad,-,0,1.15
espania,18/11/2017,Getafe,Alaves,-,0,1.29
espania,18/11/2017,Leganes,Barcelona,Barcelona,1,1.16
espania,18/11/2017,Sevilla,Celta,-,0,1.19
espania,18/11/2017,Ath Madrid,Real Madrid,-,0,1.01
espania,19/11/2017,Malaga,La Coruna,-,0,1.22
espania,19/11/2017,Las Palmas,Levante,-,0,1.31
espania,19/11/2017,Espanol,Valencia,-,0,1.28
espania,19/11/2017,Ath Bilbao,Villarreal,-,0,1.19
espania,20/11/2017,Eibar,Betis,-,0,1.08
espania,24/11/2017,Celta,Leganes,-,0,1.2
espania,25/11/2017,Levante,Ath Madrid,-,0,1.18
espania,25/11/2017,Alaves,Eibar,-,0,1.22
espania,25/11/2017,Betis,Girona,-,0,1.16
espania,25/11/2017,Real Madrid,Malaga,Real Madrid,1,1.3
espania,26/11/2017,La Coruna,Ath Bilbao,-,0,1.15
espania,26/11/2017,Valencia,Barcelona,Barcelona,0,1.19
espania,26/11/2017,Sociedad,Las Palmas,-,0,1.17
espania,26/11/2017,Villarreal,Sevilla,-,0,1
espania,27/11/2017,Espanol,Getafe,-,0,1.2
espania,01/12/2017,Malaga,Levante,-,0,1.29
espania,02/12/2017,Barcelona,Celta,Barcelona,0,1.29
espania,02/12/2017,Sevilla,La Coruna,-,0,1.13
espania,02/12/2017,Ath Bilbao,Real Madrid,-,0,1.03
espania,02/12/2017,Ath Madrid,Sociedad,-,0,1.01
espania,03/12/2017,Las Palmas,Betis,-,0,1.22
espania,03/12/2017,Eibar,Espanol,-,0,1.01
espania,03/12/2017,Getafe,Valencia,-,0,1.2
espania,03/12/2017,Leganes,Villarreal,-,0,1.08
espania,04/12/2017,Girona,Alaves,-,0,1.18
espania,08/12/2017,Alaves,Las Palmas,-,0,1.28
espania,09/12/2017,Valencia,Celta,-,0,1.03
espania,09/12/2017,Getafe,Eibar,-,0,1.04
espania,09/12/2017,La Coruna,Leganes,-,0,1.31
espania,09/12/2017,Real Madrid,Sevilla,-,0,1.08
espania,10/12/2017,Levante,Ath Bilbao,-,0,1.17
espania,10/12/2017,Betis,Ath Madrid,-,0,1.04
espania,10/12/2017,Villarreal,Barcelona,Barcelona,1,1.03
espania,10/12/2017,Sociedad,Malaga,-,0,1.28
espania,11/12/2017,Espanol,Girona,-,0,1.22
espania,15/12/2017,Sevilla,Levante,-,0,1.25
espania,16/12/2017,Ath Madrid,Alaves,-,0,1.25
espania,16/12/2017,Ath Bilbao,Sociedad,-,0,1.17
espania,16/12/2017,Eibar,Valencia,-,0,1.27
espania,17/12/2017,Las Palmas,Espanol,-,0,1.29
espania,17/12/2017,Girona,Getafe,-,0,1.17
espania,17/12/2017,Barcelona,La Coruna,Barcelona,1,1.15
espania,17/12/2017,Celta,Villarreal,-,0,1.12
espania,18/12/2017,Malaga,Betis,-,0,1.09
espania,19/12/2017,Levante,Leganes,-,0,1.1
espania,20/12/2017,Getafe,Las Palmas,-,0,1.02
espania,20/12/2017,Sociedad,Sevilla,-,0,1.15
espania,21/12/2017,Eibar,Girona,-,0,1.19
espania,21/12/2017,Alaves,Malaga,-,0,1.13
espania,22/12/2017,Betis,Ath Bilbao,-,0,1.14
espania,22/12/2017,Espanol,Ath Madrid,-,0,1.3
espania,23/12/2017,Real Madrid,Barcelona,-,0,1.03
espania,23/12/2017,La Coruna,Celta,-,0,1.23
espania,23/12/2017,Valencia,Villarreal,-,0,1.21
espania,06/01/2018,Sevilla,Betis,-,0,1.17
espania,06/01/2018,Las Palmas,Eibar,-,0,1.28
espania,06/01/2018,Ath Madrid,Getafe,-,0,1.07
espania,06/01/2018,Valencia,Girona,-,0,1.18
espania,07/01/2018,Ath Bilbao,Alaves,-,0,1.16
espania,07/01/2018,Villarreal,La Coruna,-,0,1.2
espania,07/01/2018,Barcelona,Levante,Barcelona,1,1.18
espania,07/01/2018,Celta,Real Madrid,Real Madrid,0,1.2
espania,07/01/2018,Leganes,Sociedad,-,0,1.3
espania,08/01/2018,Malaga,Espanol,-,0,1.19
espania,12/01/2018,Getafe,Malaga,-,0,1.18
espania,13/01/2018,Eibar,Ath Madrid,-,0,1.1
espania,13/01/2018,Girona,Las Palmas,-,0,1.13
espania,13/01/2018,La Coruna,Valencia,-,0,1.25
espania,13/01/2018,Real Madrid,Villarreal,-,0,1.08
espania,14/01/2018,Espanol,Ath Bilbao,-,0,1.28
espania,14/01/2018,Sociedad,Barcelona,Barcelona,1,1.15
espania,14/01/2018,Levante,Celta,-,0,1.09
espania,14/01/2018,Alaves,Sevilla,-,0,1.26
espania,15/01/2018,Betis,Leganes,-,0,1.29
espania,19/01/2018,Getafe,Ath Bilbao,-,0,1.18
espania,20/01/2018,Ath Madrid,Girona,-,0,1.14
espania,20/01/2018,Villarreal,Levante,-,0,1.08
espania,20/01/2018,Espanol,Sevilla,-,0,1.17
espania,20/01/2018,Las Palmas,Valencia,-,0,1.2
espania,21/01/2018,Betis,Barcelona,Barcelona,1,1.22
espania,21/01/2018,Sociedad,Celta,-,0,1.24
espania,21/01/2018,Real Madrid,La Coruna,Real Madrid,1,1.11
espania,21/01/2018,Alaves,Leganes,-,0,1.01
espania,22/01/2018,Eibar,Malaga,-,0,1.19
espania,26/01/2018,Ath Bilbao,Eibar,-,0,1.18
espania,27/01/2018,Malaga,Girona,-,0,1.03
espania,27/01/2018,La Coruna,Levante,-,0,1.13
espania,27/01/2018,Valencia,Real Madrid,-,0,1.2
espania,27/01/2018,Villarreal,Sociedad,-,0,1.3
espania,28/01/2018,Barcelona,Alaves,Barcelona,1,1.07
espania,28/01/2018,Leganes,Espanol,-,0,1.08
espania,28/01/2018,Sevilla,Getafe,-,0,1.17
espania,28/01/2018,Ath Madrid,Las Palmas,Ath Madrid,1,1.04
espania,29/01/2018,Celta,Betis,-,0,1.07
espania,02/02/2018,Sociedad,La Coruna,-,0,1.22
espania,03/02/2018,Alaves,Celta,-,0,1.1
espania,03/02/2018,Levante,Real Madrid,Real Madrid,0,1.14
espania,03/02/2018,Eibar,Sevilla,-,0,1.14
espania,03/02/2018,Betis,Villarreal,-,0,1.17
espania,04/02/2018,Girona,Ath Bilbao,-,0,1.09
espania,04/02/2018,Espanol,Barcelona,Barcelona,0,1.03
espania,04/02/2018,Getafe,Leganes,-,0,1.29
espania,04/02/2018,Ath Madrid,Valencia,-,0,1.04
espania,05/02/2018,Las Palmas,Malaga,-,0,1.28
espania,09/02/2018,Ath Bilbao,Las Palmas,-,0,1.18
espania,10/02/2018,Villarreal,Alaves,-,0,1.01
espania,10/02/2018,Malaga,Ath Madrid,Ath Madrid,1,1.15
espania,10/02/2018,Leganes,Eibar,-,0,1.03
espania,10/02/2018,Real Madrid,Sociedad,-,0,1.12
espania,11/02/2018,Celta,Espanol,-,0,1.23
espania,11/02/2018,Barcelona,Getafe,Barcelona,0,1.28
espania,11/02/2018,Sevilla,Girona,-,0,1.22
espania,11/02/2018,Valencia,Levante,-,0,1.22
espania,12/02/2018,La Coruna,Betis,-,0,1.28
espania,16/02/2018,Girona,Leganes,-,0,1.12
espania,17/02/2018,Eibar,Barcelona,Barcelona,1,1.14
espania,17/02/2018,Alaves,La Coruna,-,0,1.3
espania,17/02/2018,Las Palmas,Sevilla,-,0,1.07
espania,17/02/2018,Malaga,Valencia,-,0,1.04
espania,18/02/2018,Ath Madrid,Ath Bilbao,-,0,1.19
espania,18/02/2018,Sociedad,Levante,-,0,1.16
espania,18/02/2018,Betis,Real Madrid,Real Madrid,1,1.04
espania,18/02/2018,Espanol,Villarreal,-,0,1.16
espania,19/02/2018,Getafe,Celta,-,0,1.08
espania,21/02/2018,Leganes,Real Madrid,Real Madrid,1,1.03
espania,23/02/2018,La Coruna,Espanol,-,0,1.2
espania,24/02/2018,Real Madrid,Alaves,Real Madrid,1,1.14
espania,24/02/2018,Celta,Eibar,-,0,1.03
espania,24/02/2018,Barcelona,Girona,Barcelona,1,1.18
espania,24/02/2018,Leganes,Las Palmas,-,0,1.19
espania,25/02/2018,Sevilla,Ath Madrid,-,0,1.28
espania,25/02/2018,Villarreal,Getafe,-,0,1.2
espania,25/02/2018,Ath Bilbao,Malaga,-,0,1.17
espania,25/02/2018,Valencia,Sociedad,-,0,1.07
espania,26/02/2018,Levante,Betis,-,0,1.06
espania,27/02/2018,Girona,Celta,-,0,1.22
espania,27/02/2018,Espanol,Real Madrid,Real Madrid,0,1.18
espania,28/02/2018,Getafe,La Coruna,-,0,1.2
espania,28/02/2018,Ath Madrid,Leganes,Ath Madrid,1,1.15
espania,28/02/2018,Malaga,Sevilla,-,0,1.2
espania,28/02/2018,Ath Bilbao,Valencia,-,0,1.29
espania,28/02/2018,Eibar,Villarreal,-,0,1.05
espania,01/03/2018,Las Palmas,Barcelona,Barcelona,0,1.01
espania,01/03/2018,Alaves,Levante,-,0,1.25
espania,01/03/2018,Betis,Sociedad,-,0,1.27
espania,03/03/2018,Sevilla,Ath Bilbao,-,0,1.2
espania,03/03/2018,La Coruna,Eibar,-,0,1.21
espania,03/03/2018,Real Madrid,Getafe,-,0,1.05
espania,03/03/2018,Villarreal,Girona,-,0,1.05
espania,03/03/2018,Leganes,Malaga,-,0,1.22
espania,04/03/2018,Sociedad,Alaves,-,0,1.17
espania,04/03/2018,Barcelona,Ath Madrid,-,0,1.23
espania,04/03/2018,Valencia,Betis,-,0,1.23
espania,04/03/2018,Levante,Espanol,-,0,1.2
espania,05/03/2018,Celta,Las Palmas,-,0,1.22
espania,09/03/2018,Girona,La Coruna,-,0,1.02
espania,10/03/2018,Malaga,Barcelona,Barcelona,1,1.19
espania,10/03/2018,Getafe,Levante,-,0,1.15
espania,10/03/2018,Eibar,Real Madrid,Real Madrid,1,1.08
espania,10/03/2018,Sevilla,Valencia,-,0,1.12
espania,11/03/2018,Ath Madrid,Celta,-,0,1.01
espania,11/03/2018,Ath Bilbao,Leganes,-,0,1.23
espania,11/03/2018,Espanol,Sociedad,-,0,1.05
espania,11/03/2018,Las Palmas,Villarreal,-,0,1.27
espania,12/03/2018,Alaves,Betis,-,0,1.21
espania,16/03/2018,Levante,Eibar,-,0,1.03
espania,17/03/2018,Valencia,Alaves,-,0,1.14
espania,17/03/2018,Betis,Espanol,-,0,1.03
espania,17/03/2018,Sociedad,Getafe,-,0,1.01
espania,17/03/2018,La Coruna,Las Palmas,-,0,1.01
espania,18/03/2018,Barcelona,Ath Bilbao,Barcelona,1,1.15
espania,18/03/2018,Villarreal,Ath Madrid,-,0,1.1
espania,18/03/2018,Real Madrid,Girona,Real Madrid,1,1.08
espania,18/03/2018,Celta,Malaga,-,0,1.22
espania,18/03/2018,Leganes,Sevilla,-,0,1.16
espania,31/03/2018,Sevilla,Barcelona,Barcelona,0,1.13
espania,31/03/2018,Ath Bilbao,Celta,-,0,1.01
espania,31/03/2018,Girona,Levante,-,0,1.25
espania,31/03/2018,Las Palmas,Real Madrid,Real Madrid,1,1.17
espania,01/04/2018,Espanol,Alaves,-,0,1.64
espania,01/04/2018,Ath Madrid,La Coruna,Ath Madrid,1,1.04
espania,01/04/2018,Eibar,Sociedad,-,0,1.07
espania,01/04/2018,Leganes,Valencia,-,0,1.3
espania,01/04/2018,Malaga,Villarreal,-,0,1.05
espania,02/04/2018,Getafe,Betis,-,0,1.17
espania,06/04/2018,La Coruna,Malaga,-,0,1.22
espania,07/04/2018,Betis,Eibar,-,0,1.29
espania,07/04/2018,Alaves,Getafe,-,0,1.07
espania,07/04/2018,Barcelona,Leganes,Barcelona,1,1.1
espania,07/04/2018,Celta,Sevilla,-,0,1.24
espania,08/04/2018,Real Madrid,Ath Madrid,-,0,1.1
espania,08/04/2018,Valencia,Espanol,-,0,1.01
espania,08/04/2018,Sociedad,Girona,-,0,1.17
espania,08/04/2018,Levante,Las Palmas,-,0,1.23
espania,09/04/2018,Villarreal,Ath Bilbao,-,0,1.16
espania,13/04/2018,Girona,Betis,-,0,1.05
espania,14/04/2018,Leganes,Celta,-,0,1.07
espania,14/04/2018,Ath Bilbao,La Coruna,-,0,1.17
espania,14/04/2018,Las Palmas,Sociedad,-,0,1.12
espania,14/04/2018,Barcelona,Valencia,Barcelona,1,1.17
espania,14/04/2018,Sevilla,Villarreal,-,0,1.13
espania,15/04/2018,Eibar,Alaves,-,0,1.22
espania,15/04/2018,Getafe,Espanol,-,0,1.1
espania,15/04/2018,Ath Madrid,Levante,-,0,1.1
espania,15/04/2018,Malaga,Real Madrid,Real Madrid,1,1.05
espania,17/04/2018,Celta,Barcelona,Barcelona,0,1.1
espania,17/04/2018,Villarreal,Leganes,-,0,1.04
espania,17/04/2018,La Coruna,Sevilla,-,0,1.06
espania,18/04/2018,Real Madrid,Ath Bilbao,-,0,1.26
espania,18/04/2018,Espanol,Eibar,-,0,1.25
espania,18/04/2018,Valencia,Getafe,-,0,1.03
espania,19/04/2018,Sociedad,Ath Madrid,-,0,1.22
espania,19/04/2018,Alaves,Girona,-,0,1.08
espania,19/04/2018,Betis,Las Palmas,-,0,1.04
espania,19/04/2018,Levante,Malaga,-,0,1.01
espania,20/04/2018,Leganes,La Coruna,-,0,1.06
espania,21/04/2018,Eibar,Getafe,-,0,1.07
espania,21/04/2018,Celta,Valencia,-,0,1.26
espania,22/04/2018,Las Palmas,Alaves,-,0,1.06
espania,22/04/2018,Ath Madrid,Betis,-,0,1.26
espania,22/04/2018,Girona,Espanol,-,0,1.07
espania,22/04/2018,Malaga,Sociedad,-,0,1.06
espania,23/04/2018,Ath Bilbao,Levante,-,0,1.07
espania,27/04/2018,Levante,Sevilla,-,0,1.19
espania,28/04/2018,Sociedad,Ath Bilbao,-,0,1.07
espania,28/04/2018,Villarreal,Celta,-,0,1.28
espania,28/04/2018,Espanol,Las Palmas,-,0,1.14
espania,28/04/2018,Real Madrid,Leganes,Real Madrid,1,1.16
espania,29/04/2018,Alaves,Ath Madrid,-,0,1.14
espania,29/04/2018,La Coruna,Barcelona,Barcelona,1,1.15
espania,29/04/2018,Valencia,Eibar,-,0,1.27
espania,29/04/2018,Getafe,Girona,-,0,1.23
espania,30/04/2018,Betis,Malaga,-,0,1
espania,04/05/2018,Sevilla,Sociedad,-,0,1.05
espania,05/05/2018,Ath Bilbao,Betis,-,0,1.03
espania,05/05/2018,Girona,Eibar,-,0,1.19
espania,05/05/2018,Celta,La Coruna,-,0,1.29
espania,05/05/2018,Villarreal,Valencia,-,0,1.02
espania,06/05/2018,Malaga,Alaves,-,0,1.26
espania,06/05/2018,Ath Madrid,Espanol,-,0,1.08
espania,06/05/2018,Las Palmas,Getafe,-,0,1.02
espania,06/05/2018,Barcelona,Real Madrid,-,0,1.29
espania,07/05/2018,Leganes,Levante,-,0,1.12
espania,09/05/2018,Sevilla,Real Madrid,-,0,1.1
espania,09/05/2018,Barcelona,Villarreal,Barcelona,1,1.22
espania,12/05/2018,Alaves,Ath Bilbao,-,0,1.16
espania,12/05/2018,Getafe,Ath Madrid,-,0,1.24
espania,12/05/2018,Real Madrid,Celta,Real Madrid,1,1.26
espania,12/05/2018,Eibar,Las Palmas,-,0,1.1
espania,12/05/2018,Sociedad,Leganes,-,0,1.26
espania,12/05/2018,Betis,Sevilla,-,0,1.06
espania,12/05/2018,Girona,Valencia,-,0,1.26
espania,12/05/2018,La Coruna,Villarreal,-,0,1.25
espania,13/05/2018,Levante,Barcelona,Barcelona,0,1.22
espania,13/05/2018,Espanol,Malaga,-,0,1.26
espania,19/05/2018,Sevilla,Alaves,-,0,1.28
espania,19/05/2018,Leganes,Betis,-,0,1.03
espania,19/05/2018,Malaga,Getafe,-,0,1.25
espania,19/05/2018,Las Palmas,Girona,-,0,1.17
espania,19/05/2018,Celta,Levante,-,0,1.08
espania,19/05/2018,Villarreal,Real Madrid,-,0,1.16
espania,20/05/2018,Ath Madrid,Eibar,-,0,1.17
espania,20/05/2018,Ath Bilbao,Espanol,-,0,1.27
espania,20/05/2018,Valencia,La Coruna,-,0,1.15
espania,20/05/2018,Barcelona,Sociedad,Barcelona,1,1.01
francia,12/08/2016,Monaco,Guingamp,-,0,1.06
francia,12/08/2016,Monaco,Guingamp,-,0,1.1
francia,12/08/2016,Bastia,Paris SG,Paris SG,1,1.02
francia,12/08/2016,Bastia,Paris SG,Paris SG,1,1.09
francia,13/08/2016,Montpellier,Angers,-,0,1.4
francia,13/08/2016,Montpellier,Angers,-,0,1.49
francia,13/08/2016,Metz,Lille,-,0,1.25
francia,13/08/2016,Metz,Lille,-,0,1.03
francia,13/08/2016,Caen,Lorient,-,0,1.02
francia,13/08/2016,Caen,Lorient,-,0,1.13
francia,13/08/2016,Dijon,Nantes,-,0,1.48
francia,13/08/2016,Dijon,Nantes,-,0,1.32
francia,13/08/2016,Bordeaux,St Etienne,-,0,1.42
francia,13/08/2016,Bordeaux,St Etienne,-,0,1.01
francia,14/08/2016,Nancy,Lyon,-,0,1
francia,14/08/2016,Nancy,Lyon,-,0,1.34
francia,14/08/2016,Nice,Rennes,-,0,1.01
francia,14/08/2016,Nice,Rennes,-,0,1.22
francia,14/08/2016,Marseille,Toulouse,-,0,1.26
francia,14/08/2016,Marseille,Toulouse,-,0,1.43
francia,19/08/2016,Lyon,Caen,-,0,1.48
francia,19/08/2016,Lyon,Caen,-,0,1.32
francia,20/08/2016,Lorient,Bastia,-,0,1.18
francia,20/08/2016,Lorient,Bastia,-,0,1.02
francia,20/08/2016,Toulouse,Bordeaux,-,0,1.3
francia,20/08/2016,Toulouse,Bordeaux,-,0,1.1
francia,20/08/2016,Lille,Dijon,-,0,1.31
francia,20/08/2016,Lille,Dijon,-,0,1.07
francia,20/08/2016,Nantes,Monaco,Monaco,1,1.03
francia,20/08/2016,Nantes,Monaco,Monaco,1,1.11
francia,20/08/2016,Rennes,Nancy,-,0,1.07
francia,20/08/2016,Rennes,Nancy,-,0,1.08
francia,20/08/2016,Angers,Nice,-,0,1.26
francia,20/08/2016,Angers,Nice,-,0,1.08
francia,21/08/2016,Guingamp,Marseille,-,0,1.18
francia,21/08/2016,Guingamp,Marseille,-,0,1.34
francia,21/08/2016,Paris SG,Metz,-,0,1.19
francia,21/08/2016,Paris SG,Metz,-,0,1.29
francia,21/08/2016,St Etienne,Montpellier,-,0,1.35
francia,21/08/2016,St Etienne,Montpellier,-,0,1.03
francia,26/08/2016,Marseille,Lorient,-,0,1.31
francia,26/08/2016,Marseille,Lorient,-,0,1.01
francia,27/08/2016,Metz,Angers,-,0,1.23
francia,27/08/2016,Metz,Angers,-,0,1.26
francia,27/08/2016,Caen,Bastia,-,0,1.3
francia,27/08/2016,Caen,Bastia,-,0,1.11
francia,27/08/2016,Nancy,Guingamp,-,0,1.1
francia,27/08/2016,Nancy,Guingamp,-,0,1.28
francia,27/08/2016,Nice,Lille,-,0,1.41
francia,27/08/2016,Nice,Lille,-,0,1.22
francia,27/08/2016,Dijon,Lyon,-,0,1.41
francia,27/08/2016,Dijon,Lyon,-,0,1.34
francia,27/08/2016,Montpellier,Rennes,-,0,1.14
francia,27/08/2016,Montpellier,Rennes,-,0,1.06
francia,28/08/2016,Bordeaux,Nantes,-,0,1.04
francia,28/08/2016,Bordeaux,Nantes,-,0,1.06
francia,28/08/2016,Monaco,Paris SG,Monaco,1,1.48
francia,28/08/2016,Monaco,Paris SG,Paris SG,0,1.3
francia,28/08/2016,St Etienne,Toulouse,-,0,1.02
francia,28/08/2016,St Etienne,Toulouse,-,0,1.31
francia,09/09/2016,Paris SG,St Etienne,-,0,1.16
francia,09/09/2016,Paris SG,St Etienne,-,0,1.07
francia,10/09/2016,Lyon,Bordeaux,-,0,1.28
francia,10/09/2016,Lyon,Bordeaux,-,0,1.11
francia,10/09/2016,Angers,Dijon,-,0,1.05
francia,10/09/2016,Angers,Dijon,-,0,1.37
francia,10/09/2016,Lille,Monaco,Monaco,1,1.28
francia,10/09/2016,Lille,Monaco,Monaco,1,1.16
francia,10/09/2016,Guingamp,Montpellier,-,0,1.02
francia,10/09/2016,Guingamp,Montpellier,-,0,1.27
francia,10/09/2016,Lorient,Nancy,-,0,1.1
francia,10/09/2016,Lorient,Nancy,-,0,1.34
francia,10/09/2016,Bastia,Toulouse,-,0,1.23
francia,10/09/2016,Bastia,Toulouse,-,0,1.16
francia,11/09/2016,Rennes,Caen,-,0,1.19
francia,11/09/2016,Rennes,Caen,-,0,1.27
francia,11/09/2016,Nice,Marseille,-,0,1.4
francia,11/09/2016,Nice,Marseille,-,0,1.08
francia,11/09/2016,Nantes,Metz,-,0,1.34
francia,11/09/2016,Nantes,Metz,-,0,1.46
francia,16/09/2016,Caen,Paris SG,Paris SG,1,1.49
francia,16/09/2016,Caen,Paris SG,Paris SG,1,1.08
francia,17/09/2016,Bordeaux,Angers,-,0,1.47
francia,17/09/2016,Bordeaux,Angers,-,0,1.16
francia,17/09/2016,Toulouse,Guingamp,-,0,1.25
francia,17/09/2016,Toulouse,Guingamp,-,0,1.4
francia,17/09/2016,Lorient,Lille,-,0,1.39
francia,17/09/2016,Lorient,Lille,-,0,1.29
francia,17/09/2016,Dijon,Metz,-,0,1.44
francia,17/09/2016,Dijon,Metz,-,0,1.35
francia,17/09/2016,Nancy,Nantes,-,0,1.1
francia,17/09/2016,Nancy,Nantes,-,0,1.04
francia,17/09/2016,Monaco,Rennes,-,0,1.22
francia,17/09/2016,Monaco,Rennes,-,0,1.17
francia,18/09/2016,St Etienne,Bastia,-,0,1.37
francia,18/09/2016,St Etienne,Bastia,-,0,1.25
francia,18/09/2016,Marseille,Lyon,-,0,1.02
francia,18/09/2016,Marseille,Lyon,-,0,1.35
francia,18/09/2016,Montpellier,Nice,-,0,1.19
francia,18/09/2016,Montpellier,Nice,-,0,1.45
francia,20/09/2016,Paris SG,Dijon,-,0,1.07
francia,20/09/2016,Paris SG,Dijon,-,0,1.36
francia,20/09/2016,Lille,Toulouse,-,0,1.48
francia,20/09/2016,Lille,Toulouse,-,0,1.32
francia,21/09/2016,Metz,Bordeaux,-,0,1.17
francia,21/09/2016,Metz,Bordeaux,-,0,1.12
francia,21/09/2016,Angers,Caen,-,0,1.26
