indice,date_partido,local,visita,prediccion,correcto,multiplicador
premiere,13/12/2016,Everton,Arsenal,-,,1.06
premiere,13/12/2016,Bournemouth,Leicester,-,,1.11
premiere,14/12/2016,West Ham,Burnley,-,,1.13
premiere,14/12/2016,Crystal Palace,Man United,-,,1.26
premiere,14/12/2016,Stoke,Southampton,-,,1.24
premiere,14/12/2016,West Brom,Swansea,-,,1.18
premiere,14/12/2016,Man City,Watford,Man City,1,1.22
premiere,17/12/2016,Crystal Palace,Chelsea,-,,1.05
premiere,17/12/2016,Stoke,Leicester,-,,1.03
premiere,17/12/2016,West Brom,Man United,Man United,1,1.29
premiere,18/12/2016,Man City,Arsenal,-,,1.18
premiere,18/12/2016,Tottenham,Burnley,-,,1.13
premiere,18/12/2016,Bournemouth,Southampton,-,,1.07
premiere,19/12/2016,Everton,Liverpool,Liverpool,1,1.08
premiere,26/12/2016,Chelsea,Bournemouth,-,,1.29
premiere,26/12/2016,Watford,Crystal Palace,-,,1.17
premiere,26/12/2016,Leicester,Everton,-,,1.06
premiere,26/12/2016,Arsenal,West Brom,-,,1.15
premiere,26/12/2016,Swansea,West Ham,-,,1
premiere,27/12/2016,Liverpool,Stoke,Liverpool,1,1.02
premiere,28/12/2016,Southampton,Tottenham,Tottenham,1,1.24
premiere,31/12/2016,Swansea,Bournemouth,-,,1.25
premiere,31/12/2016,Liverpool,Man City,-,,1.11
premiere,31/12/2016,Chelsea,Stoke,-,,1.08
premiere,31/12/2016,Southampton,West Brom,-,,1.04
premiere,31/12/2016,Leicester,West Ham,-,,1.21
premiere,01/01/2017,Arsenal,Crystal Palace,-,,1.27
premiere,01/01/2017,Watford,Tottenham,Tottenham,1,1.13
premiere,02/01/2017,Man City,Burnley,Man City,1,1.1
premiere,02/01/2017,West Ham,Man United,Man United,1,1.3
premiere,02/01/2017,Everton,Southampton,-,,1.18
premiere,03/01/2017,Bournemouth,Arsenal,-,,1.13
premiere,03/01/2017,Crystal Palace,Swansea,-,,1.1
premiere,03/01/2017,Stoke,Watford,-,,1.05
premiere,04/01/2017,Tottenham,Chelsea,-,,1.03
premiere,14/01/2017,Swansea,Arsenal,-,,1.02
premiere,14/01/2017,Leicester,Chelsea,-,,1.15
premiere,14/01/2017,West Ham,Crystal Palace,-,,1.18
premiere,14/01/2017,Burnley,Southampton,-,,1.13
premiere,14/01/2017,Tottenham,West Brom,Tottenham,1,1.24
premiere,15/01/2017,Man United,Liverpool,-,,1.14
premiere,15/01/2017,Everton,Man City,Man City,0,1.27
premiere,21/01/2017,Crystal Palace,Everton,-,,1.19
premiere,21/01/2017,Stoke,Man United,Man United,,1.04
premiere,21/01/2017,Liverpool,Swansea,Liverpool,0,1.21
premiere,21/01/2017,Man City,Tottenham,-,,1.13
premiere,21/01/2017,Bournemouth,Watford,-,,1.3
premiere,22/01/2017,Arsenal,Burnley,-,,1.22
premiere,22/01/2017,Southampton,Leicester,-,,1.04
premiere,31/01/2017,Liverpool,Chelsea,-,,1.26
premiere,31/01/2017,Bournemouth,Crystal Palace,-,,1.01
premiere,31/01/2017,Burnley,Leicester,-,,1.18
premiere,31/01/2017,Swansea,Southampton,-,,1.13
premiere,31/01/2017,Arsenal,Watford,-,,1.3
premiere,01/02/2017,Stoke,Everton,-,,1.19
premiere,01/02/2017,West Ham,Man City,Man City,1,1.3
premiere,04/02/2017,Chelsea,Arsenal,-,,1.19
premiere,04/02/2017,Everton,Bournemouth,-,,1.28
premiere,04/02/2017,Watford,Burnley,-,,1.18
premiere,04/02/2017,West Brom,Stoke,-,,1.28
premiere,04/02/2017,Southampton,West Ham,-,,1.27
premiere,05/02/2017,Leicester,Man United,-,,1.01
premiere,05/02/2017,Man City,Swansea,Man City,1,1.29
premiere,11/02/2017,Stoke,Crystal Palace,-,,1.16
premiere,11/02/2017,Liverpool,Tottenham,-,,1.3
premiere,11/02/2017,Man United,Watford,Man United,1,1.21
premiere,11/02/2017,West Ham,West Brom,-,,1.1
premiere,12/02/2017,Burnley,Chelsea,-,,1.23
premiere,12/02/2017,Swansea,Leicester,-,,1.12
premiere,13/02/2017,Bournemouth,Man City,Man City,1,1.13
premiere,25/02/2017,West Brom,Bournemouth,-,,1.18
premiere,25/02/2017,Chelsea,Swansea,-,,1.29
premiere,25/02/2017,Watford,West Ham,-,,1.29
premiere,26/02/2017,Tottenham,Stoke,Tottenham,1,1.16
premiere,27/02/2017,Leicester,Liverpool,-,,1.02
premiere,04/03/2017,Liverpool,Arsenal,-,,1.08
premiere,04/03/2017,Man United,Bournemouth,-,,1.24
premiere,04/03/2017,Swansea,Burnley,-,,1.08
premiere,04/03/2017,West Brom,Crystal Palace,-,,1.05
premiere,04/03/2017,Watford,Southampton,-,,1.09
premiere,05/03/2017,Tottenham,Everton,-,,1.24
premiere,06/03/2017,West Ham,Chelsea,-,,1.05
premiere,08/03/2017,Man City,Stoke,Man City,,1.21
premiere,11/03/2017,Everton,West Brom,-,,1.14
premiere,11/03/2017,Bournemouth,West Ham,-,,1.02
premiere,12/03/2017,Liverpool,Burnley,-,,1.1
premiere,18/03/2017,West Brom,Arsenal,-,,1.19
premiere,18/03/2017,Stoke,Chelsea,-,,1.16
premiere,18/03/2017,West Ham,Leicester,-,,1.11
premiere,18/03/2017,Bournemouth,Swansea,-,,1.23
premiere,18/03/2017,Crystal Palace,Watford,-,,1.33
premiere,19/03/2017,Man City,Liverpool,-,,1.24
premiere,19/03/2017,Tottenham,Southampton,Tottenham,1,1.04
premiere,01/04/2017,Southampton,Bournemouth,-,,1.24
premiere,01/04/2017,Chelsea,Crystal Palace,-,,1.02
premiere,01/04/2017,Liverpool,Everton,Liverpool,1,1.01
premiere,01/04/2017,Leicester,Stoke,-,,1.1
premiere,01/04/2017,Burnley,Tottenham,-,,1.04
premiere,01/04/2017,Man United,West Brom,Man United,,1.14
premiere,02/04/2017,Arsenal,Man City,-,,1.09
premiere,04/04/2017,Man United,Everton,-,,1.01
premiere,04/04/2017,Burnley,Stoke,-,,1.12
premiere,04/04/2017,Watford,West Brom,-,,1.17
premiere,05/04/2017,Liverpool,Bournemouth,Liverpool,,1.23
premiere,05/04/2017,Southampton,Crystal Palace,-,,1.32
premiere,05/04/2017,Chelsea,Man City,-,,1.06
premiere,05/04/2017,Swansea,Tottenham,Tottenham,1,1.22
premiere,05/04/2017,Arsenal,West Ham,-,,1.33
premiere,08/04/2017,Bournemouth,Chelsea,-,,1.14
premiere,08/04/2017,Stoke,Liverpool,Liverpool,1,1.04
premiere,08/04/2017,West Brom,Southampton,-,,1.25
premiere,08/04/2017,West Ham,Swansea,-,,1.08
premiere,08/04/2017,Tottenham,Watford,Tottenham,1,1.27
premiere,09/04/2017,Everton,Leicester,-,,1.31
premiere,10/04/2017,Crystal Palace,Arsenal,-,,1.24
premiere,15/04/2017,Tottenham,Bournemouth,-,,1.04
premiere,15/04/2017,Everton,Burnley,-,,1.31
premiere,15/04/2017,Crystal Palace,Leicester,-,,1.07
premiere,15/04/2017,Southampton,Man City,Man City,1,1.33
premiere,15/04/2017,Watford,Swansea,-,,1.1
premiere,16/04/2017,Man United,Chelsea,-,,1.01
premiere,16/04/2017,West Brom,Liverpool,Liverpool,1,1.25
premiere,22/04/2017,West Ham,Everton,-,,1.22
premiere,22/04/2017,Swansea,Stoke,-,,1
premiere,23/04/2017,Liverpool,Crystal Palace,-,,1.02
premiere,23/04/2017,Burnley,Man United,-,,1.24
premiere,25/04/2017,Chelsea,Southampton,-,,1.18
premiere,26/04/2017,Arsenal,Leicester,-,,1.14
premiere,26/04/2017,Crystal Palace,Tottenham,-,,1.1
premiere,27/04/2017,Man City,Man United,-,,1.3
premiere,29/04/2017,Crystal Palace,Burnley,-,,1.09
premiere,29/04/2017,West Brom,Leicester,-,,1.23
premiere,29/04/2017,Stoke,West Ham,-,,1.11
premiere,30/04/2017,Tottenham,Arsenal,-,,1.29
premiere,30/04/2017,Everton,Chelsea,-,,1.12
premiere,30/04/2017,Man United,Swansea,Man United,,1.08
premiere,01/05/2017,Watford,Liverpool,Liverpool,1,1.29
premiere,05/05/2017,West Ham,Tottenham,Tottenham,0,1.32
premiere,06/05/2017,Man City,Crystal Palace,Man City,1,1.12
premiere,06/05/2017,Swansea,Everton,-,,1.24
premiere,06/05/2017,Bournemouth,Stoke,-,,1.31
premiere,06/05/2017,Leicester,Watford,-,,1.06
premiere,06/05/2017,Burnley,West Brom,-,,1.22
premiere,07/05/2017,Arsenal,Man United,-,,1.17
premiere,07/05/2017,Liverpool,Southampton,Liverpool,,1.21
premiere,10/05/2017,Southampton,Arsenal,-,,1.13
premiere,12/05/2017,West Brom,Chelsea,-,,1.19
premiere,12/05/2017,Everton,Watford,-,,1.2
premiere,13/05/2017,Stoke,Arsenal,-,,1.3
premiere,13/05/2017,Bournemouth,Burnley,-,,1.2
premiere,13/05/2017,Man City,Leicester,Man City,1,1.15
premiere,14/05/2017,West Ham,Liverpool,Liverpool,1,1.18
premiere,14/05/2017,Tottenham,Man United,-,,1.04
premiere,15/05/2017,Chelsea,Watford,-,,1.32
premiere,16/05/2017,Man City,West Brom,Man City,1,1.19
premiere,17/05/2017,Southampton,Man United,Man United,,1.17
premiere,18/05/2017,Leicester,Tottenham,-,,1.29
premiere,21/05/2017,Leicester,Bournemouth,-,,1.31
premiere,21/05/2017,Man United,Crystal Palace,-,,1.09
premiere,21/05/2017,Arsenal,Everton,-,,1.27
premiere,21/05/2017,Watford,Man City,Man City,1,1.32
premiere,21/05/2017,Southampton,Stoke,-,,1.2
premiere,21/05/2017,Swansea,West Brom,-,,1.28
