id,name,id,name,correct,incorrect,FS,SS,TS
456,"Tsung Hua Yang",12,"Alessandro Bega",0,0,1.0902777780000008,-1.3194444439999984,2.0999999999999996
71,"Christian Harrison",12,"Alessandro Bega",0,0,2.0777777779999997,-0.6444444439999977,1.7857142859999993
197,"Jared Hiltzik",13,"Alessandro Damiano Ventre",1,0,1.3823529410000006,-1.8823529409999988,0
136,"Federico Gaio",14,"Alessandro Giannessi",0,0,0.6932367149999994,1.2455242969999993,0.2857142859999975
176,"Hernan Casanova",14,"Alessandro Giannessi",0,1,-2.4861111109999996,0.19117647100000035,1.5714285720000003
379,"Roberto Carballes Baena",14,"Alessandro Giannessi",1,0,2.5555555560000016,2.4411764710000003,6.571428571999999
53,"Bjorn Fratangelo",14,"Alessandro Giannessi",0,0,-1.1825396819999998,0.7983193279999998,5.571428571999999
208,"Joao Domingues",14,"Alessandro Giannessi",0,0,0.6746031750000014,2.084033614,-2.4285714279999997
419,"Simone Bolelli",14,"Alessandro Giannessi",0,0,1.5427350430000004,1.3257918550000003,1.2380952389999997
226,"Jozef Kovalik",14,"Alessandro Giannessi",0,0,1.038888888999999,1.9411764710000021,1.428571429999998
371,"Ramkumar Ramanathan",14,"Alessandro Giannessi",0,0,0.3888888890000004,1.2983193280000016,3.5714285719999994
281,"Mario Vilella Martinez",14,"Alessandro Giannessi",0,1,1.3055555549999998,1.4866310160000005,0.37142857199999924
275,"Marco Trungelliti",14,"Alessandro Giannessi",0,0,0.5888888890000015,2.341176470999999,2.0714285720000003
1,"Adam Pavlasek",14,"Alessandro Giannessi",0,0,0.8434343430000002,2.122994653000001,3.5714285720000003
174,"Henri Laaksonen",14,"Alessandro Giannessi",0,0,-2.0726495719999996,-0.5203619909999997,4.571428571999999
133,"Facundo Bagnis",15,"Alessandro Motti",1,0,7,3.23076923,-0.28571428600000015
30,"Andrea Basso",16,"Alessandro Petrone",0,0,2.727272726999999,1.2727272719999991,1.6666666669999999
199,"Jason Kubler",17,"Alex Bolt",0,0,0.4472049690000013,1.4949832779999994,0.1333333329999995
51,"Benjamin Mitchell",17,"Alex Bolt",0,1,-0.1904761910000019,0.038461539000000045,3
233,"Jurgen Zopp",17,"Alex Bolt",0,0,-1.9285714280000015,-0.8186813179999994,3.5833333329999997
55,"Blaz Rola",17,"Alex Bolt",0,0,-0.10714285699999948,-0.586538461,2.3333333330000006
366,"Prajnesh Gunneswaran",17,"Alex Bolt",0,0,-0.9571428570000009,-0.8615384610000003,2.733333332999999
235,"Kamil Majchrzak",17,"Alex Bolt",0,0,-0.4196428569999995,-0.586538461,1.3333333329999988
36,"Andrew Harris",18,"Alexander Babanine",1,0,2.9285714279999997,2.214285715000001,2.666666667000001
79,"Dane Propoggia",18,"Alexander Babanine",1,0,5,0.5,-3
314,"Michael Zhu",19,"Alexander Bury",1,0,2.799999999999999,-1,2.5
417,"Shuichi Sekiguchi",19,"Alexander Bury",1,0,-0.018181818000000405,-0.6818181809999988,5.833333332999999
265,"Luke Saville",19,"Alexander Bury",1,0,3.3333333330000015,-0.5666666669999998,4
302,"Maverick Banes",19,"Alexander Bury",1,0,2.072727273,-1.8636363640000013,1.5
325,"Mirza Basic",20,"Alexander Lazov",1,0,-1,1.875,3.5999999999999996
339,"Nikola Cacic",21,"Alexander Pavlioutchenkov",1,0,0.28571428599999926,4.714285715,-2
70,"Christian Garin",22,"Alexander Sarkissian",0,0,0.6666666659999994,0.3066666669999982,2.1111111110000005
271,"Marcel Granollers",22,"Alexander Sarkissian",1,0,2.6666666659999976,1.3833333339999996,2.5
103,"Dennis Novikov",22,"Alexander Sarkissian",0,0,2.0784313720000007,-0.9450980390000012,2.2857142859999993
92,"Darian King",22,"Alexander Sarkissian",0,0,-0.28070175599999914,-1.3228070169999988,2.4444444450000002
380,"Roberto Cid",22,"Alexander Sarkissian",0,1,1.0350877189999999,1.1888888889999993,1.5454545450000001
272,"Marcelo Arevalo",22,"Alexander Sarkissian",0,0,1.9333333320000001,-0.6000000000000014,0.3333333340000024
384,"Roberto Quiroz",22,"Alexander Sarkissian",0,0,-0.12280701800000315,0.3087719299999989,1.25
403,"Santiago Giraldo",22,"Alexander Sarkissian",0,0,2.6666666659999985,-0.7833333329999999,-0.6666666670000012
83,"Daniel Gimeno Traver",23,"Alexander Vasilenko",1,0,6.000000000000001,2.3999999999999986,0
337,"Niels Desein",24,"Alexander Ward",0,0,1.6666666669999994,1.3333333329999988,2.5999999999999996
57,"Bradley Klahn",24,"Alexander Ward",0,0,0.846153846,2.641025640999999,3.166666667000001
307,"Maximilian Neuchrist",24,"Alexander Ward",0,0,-1,2.833333332999999,2
89,"Daniil Medvedev",25,"Alexander Zhurbin",1,0,5.6000000000000005,3.8666666660000004,-2
265,"Luke Saville",25,"Alexander Zhurbin",0,0,3.533333333,1.5999999989999996,1.5
147,"Franco Agamenone",26,"Alexandr Igoshin",0,0,1.519230769,2.923076923,-4.3333333340000015
147,"Franco Agamenone",26,"Alexandr Igoshin",0,0,1.519230769,2.923076923,-4.3333333340000015
163,"Gonzalo Escobar",26,"Alexandr Igoshin",1,0,3.3499999999999996,5.4,-4.25
325,"Mirza Basic",27,"Alexey Vatutin",0,0,-0.4285714279999979,0.5178571420000004,3.5999999999999996
84,"Daniel Masur",27,"Alexey Vatutin",0,1,0.28571428599999926,-0.28021978099999956,2.25
241,"Kenny De Schepper",27,"Alexey Vatutin",0,0,-0.2619047609999985,0.059523808000001566,2
368,"Quentin Halys",27,"Alexey Vatutin",0,0,0.371428572000001,1.509523807999999,1.6666666670000012
368,"Quentin Halys",27,"Alexey Vatutin",0,0,0.371428572000001,1.509523807999999,1.6666666670000012
241,"Kenny De Schepper",27,"Alexey Vatutin",0,0,-0.2619047609999985,0.059523808000001566,2
17,"Alex Bolt",27,"Alexey Vatutin",0,0,0.42857142900000156,0.10439560300000039,0.6666666670000012
489,"Zhe Li",27,"Alexey Vatutin",0,1,-0.7063492050000004,-0.19047619100000013,1.6666666670000012
47,"Attila Balazs",27,"Alexey Vatutin",0,0,0.23809523799999965,-0.8571428579999996,0
201,"Jc Aragone",28,"Alexios Halebian",1,0,2.1282051279999994,1.4102564099999988,1
121,"Emilio Gomez",28,"Alexios Halebian",1,0,3.9393939389999986,0.06060606100000143,2.833333332999999
48,"Austin Krajicek",28,"Alexios Halebian",1,0,2.766666666999999,1.2333333329999991,3
55,"Blaz Rola",29,"Andrea Arnaboldi",0,0,0.8552631579999996,1.2960526319999985,0.7142857140000007
274,"Marco Cecchinato",29,"Andrea Arnaboldi",1,0,0.8552631579999996,3.2335526319999985,1.9642857139999998
421,"Stefano Napolitano",29,"Andrea Arnaboldi",0,0,0.6437246969999997,2.3441295549999985,0.047619046999999526
336,"Nicolas Mahut",29,"Andrea Arnaboldi",1,0,-1.1447368420000004,2.4210526319999985,-0.785714286000001
276,"Marcos Baghdatis",29,"Andrea Arnaboldi",1,0,-0.39473684200000037,2.9210526319999985,2.714285714
379,"Roberto Carballes Baena",29,"Andrea Arnaboldi",1,0,2.271929825000001,2.9210526319999985,5.714285714
