id,name,sum(A.w_df),count(*)
247,"Lamine Ouahab",0,0
248,"Laslo Djere",15,6
249,"Laurent Lokoli",0,0
250,"Laurent Rochette",6,2
251,"Laurynas Grigelis",31,11
252,"Liam Broady",11,6
253,"Lloyd Glasspool",6,2
254,"Loic Perret",0,0
255,"Lorenzo Giustino",23,6
256,"Luca Margaroli",8,4
257,"Luca Vanni",34,17
258,"Lucas Gomez",7,3
259,"Lucas Miedler",6,3
260,"Luis David Martinez",23,7
261,"Luis Patino",0,0
262,"Lukas Lacko",15,7
263,"Lukas Rosol",30,11
264,"Luke Bambridge",12,2
265,"Luke Saville",78,16
266,"Mackenzie Mcdonald",29,15
267,"Malek Jaziri",24,10
268,"Manuel Sanchez",9,2
269,"Marc Giner",15,4
270,"Marc Sieber",3,2
271,"Marcel Granollers",24,18
272,"Marcelo Arevalo",40,11
273,"Marco Bortolotti",7,3
274,"Marco Cecchinato",25,17
275,"Marco Trungelliti",54,19
276,"Marcos Baghdatis",4,3
277,"Marcos Giron",16,7
278,"Marcus Willis",0,0
279,"Marin Draganja",6,1
280,"Marinko Matosevic",26,9
281,"Mario Vilella Martinez",41,10
282,"Marius Copil",15,4
283,"Marko Djokovic",3,1
284,"Marko Tepavac",19,3
285,"Marsel Ilhan",4,2
286,"Martin Cuevas",19,6
287,"Martin Klizan",53,18
288,"Martins Podzus",13,4
289,"Marton Fucsovics",26,10
290,"Matej Sabanov",0,1
291,"Mathias Bourgue",17,8
292,"Matias Franco Descotte",6,2
293,"Matt Reid",0,0
294,"Matteo Donati",11,10
295,"Matteo Viola",21,7
296,"Matthew Barton",0,0
297,"Matthew Ebden",20,6
298,"Matthew Kandath",3,1
299,"Matthias Bachinger",10,7
300,"Mauricio Astorga",0,0
301,"Mauricio Echazu",13,4
302,"Maverick Banes",21,12
303,"Maxime Chazal",7,2
304,"Maxime Tabatruong",2,2
305,"Maxime Tchoutakian",0,0
306,"Maximilian Marterer",4,6
307,"Maximilian Neuchrist",6,3
308,"Maximiliano Estevez",2,1
309,"Maximo Gonzalez",18,9
310,"Michael Look",3,2
311,"Michael Mmoh",41,12
312,"Michael Ray Pallares Gonzalez",0,0
313,"Michael Redlicki",4,1
314,"Michael Zhu",3,1
315,"Michal Przysiezny",11,2
316,"Michel Vernier",0,0
317,"Mick Lescure",7,1
318,"Mikhail Balmashev",0,0
319,"Mikhail Elgin",11,6
320,"Mikhail Fufygin",4,1
321,"Mikhail Kukushkin",9,5
322,"Mikhail Youzhny",3,2
323,"Miliaan Niesten",2,1
324,"Miljan Zekic",6,3
325,"Mirza Basic",17,7
326,"Mitchell Krueger",29,12
327,"Mohamed Safwat",22,12
328,"Mousa Shanan Zayed",0,0
329,"N Sriram Balaji",41,13
330,"N Vijay Sundar Prashanth",17,6
331,"Naoki Nakagawa",1,2
332,"Nathan Pasha",12,4
333,"Nicholas Monroe",0,0
334,"Nicolaas Scholtz",3,2
335,"Nicolas Barrientos",0,0
336,"Nicolas Mahut",8,3
337,"Niels Desein",6,3
338,"Nigmat Shofayziev",5,2
339,"Nikola Cacic",6,7
340,"Nikola Milojevic",12,9
341,"Nikoloz Basilashvili",10,2
342,"Noah Rubin",37,17
343,"Norbert Gombos",21,10
344,"Omar Giacalone",5,1
345,"Oscar Otte",47,13
346,"Pablo Andujar",13,7
347,"Paolo Lorenzi",0,0
348,"Pascal Brunner",0,0
349,"Patricio Heras",19,6
350,"Pavel Krainik",7,2
351,"Pavel Tsoy",0,0
352,"Pedja Krstin",49,10
353,"Pedro Cachin",24,12
354,"Pedro Sakamoto",14,8
355,"Pedro Sousa",29,11
356,"Pere Riba",2,1
357,"Peter Nagy",0,0
358,"Peter Polansky",21,9
359,"Peter Torebko",50,7
360,"Philip Davydenko",3,1
361,"Philipp Petzschner",0,0
362,"Pierre Hugues Herbert",5,2
363,"Pietro Licciardi",0,0
364,"Pietro Rondoni",0,0
365,"Pol Toledo Bague",5,3
366,"Prajnesh Gunneswaran",25,9
367,"Purav Raja",0,0
368,"Quentin Halys",67,15
369,"Radu Albot",7,2
370,"Rajeev Ram",0,0
371,"Ramkumar Ramanathan",26,11
372,"Raul Isaias Rosas Zarur",11,1
373,"Raymond Sarmiento",3,1
374,"Renzo Olivo",30,7
375,"Ricardas Berankis",22,13
376,"Ricardo Ojeda Lara",10,8
377,"Riccardo Bellotti",0,0
378,"Riccardo Bonadio",2,1
379,"Roberto Carballes Baena",17,7
380,"Roberto Cid",50,17
381,"Roberto Marcora",17,8
382,"Roberto Maytin",0,0
383,"Roberto Ortega Olmedo",19,6
384,"Roberto Quiroz",31,11
385,"Robin Kern",3,3
386,"Robin Stanek",5,2
387,"Rogerio Dutra Silva",12,10
388,"Romain Arneodo",0,1
389,"Romain Barbosa",0,0
390,"Ronald Slobodchikov",16,2
391,"Ronnie Schneider",0,0
392,"Ruan Roelofse",5,6
393,"Ruben Bemelmans",10,8
394,"Ruben Gonzales",3,1
395,"Ruikai Wang",0,0
396,"Ryota Kishi",0,0
397,"Saketh Myneni",2,1
398,"Salvatore Caruso",18,7
399,"Sam Barry",9,5
400,"Samuel Groth",0,0
401,"Samuel Monette",2,1
402,"Sander Gille",5,3
403,"Santiago Giraldo",2,1
404,"Savino Lapalombella",0,0
405,"Scott Griekspoor",13,5
406,"Sebastian Fanselow",20,5
407,"Sekou Bangoura",1,1
408,"Seong Chan Hong",5,2
409,"Seong Gook Oh",0,0
410,"Sergey Betov",16,7
411,"Sergio Gutierrez Ferrol",11,5
412,"Sergiy Stakhovsky",5,4
413,"Shahbaaz Khan",0,0
414,"Shalva Dzhanashia",6,1
415,"Shinta Fujii",8,2
416,"Sho Katayama",1,1
417,"Shuichi Sekiguchi",20,7
418,"Sidharth Rawat",8,7
419,"Simone Bolelli",12,15
420,"Stefan Kozlov",30,8
421,"Stefano Napolitano",21,12
422,"Stefano Travaglia",36,12
423,"Stephan Fransen",0,0
424,"Stephane Robert",31,12
425,"Steve Johnson",7,3
426,"Steven Diez",2,4
427,"Steven Goh",0,0
428,"Sumit Nagal",8,5
429,"Tak Khunn Wang",3,2
430,"Takanyi Garanganga",18,4
431,"Takuto Niki",12,5
432,"Taro Daniel",14,3
433,"Tatsuma Ito",34,15
434,"Tennys Sandgren",1,1
435,"Teymuraz Gabashvili",9,5
436,"Thai Son Kwiatkowski",2,1
437,"Thales Turini",0,0
438,"Thanasi Kokkinakis",9,3
439,"Thiago Monteiro",20,8
440,"Thiemo De Bakker",4,2
441,"Thomas Fabbiano",7,3
442,"Thomaz Bellucci",21,10
443,"Ti Chen",1,1
444,"Tigre Hank",1,1
445,"Tim Puetz",20,10
446,"Tim Smyczek",2,8
447,"Tobias Kamke",24,13
448,"Tobias Simon",24,6
449,"Tom Farquharson",5,3
450,"Tom Jomby",5,2
451,"Tomas Lipovsek Puches",0,0
452,"Tomislav Brkic",24,5
453,"Tommy Robredo",33,11
454,"Toshihide Matsui",0,1
455,"Tristan Lamasine",29,14
456,"Tsung Hua Yang",26,8
457,"Tyler Hochwalt",0,0
458,"Uladzimir Ignatik",32,11
459,"Vaclav Safranek",7,5
460,"Vasek Pospisil",67,26
461,"Vasile Antonescu",0,0
462,"Victor Estrella",15,6
463,"Victor Nunez",0,0
464,"Viktor Galovic",9,8
465,"Vincent Millot",7,5
466,"Vishnu Vardhan",20,4
467,"Vladimir Ivanov",0,0
468,"Vladimir Polyakov",0,0
469,"Vladimir Uzhylovsky",0,0
470,"Vladyslav Manafov",3,1
471,"Wilfredo Gonzalez",0,0
472,"Wishaya Trongcharoenchaikul",29,10
473,"Xin Gao",0,2
474,"Yan Bai",9,4
475,"Yannick Hanfmann",19,7
476,"Yannick Jankovits",19,3
477,"Yannick Mertens",0,0
478,"Yannick Vandenbulcke",5,1
479,"Yannik Reuter",0,0
480,"Yaraslau Shyla",3,1
481,"Yasutaka Uchiyama",9,12
482,"Yen Hsun Lu",3,1
483,"Yong Kyu Lim",7,2
484,"Yoshihito Nishioka",17,15
485,"Young Seok Kim",2,1
486,"Yuki Bhambri",26,11
487,"Yuuya Kibi",24,6
488,"Ze Zhang",27,9
489,"Zhe Li",12,10
490,"Zhizhen Zhang",13,6
