SET,playerA,playerB,Surface,Type,A_points,B_Points
2713,289,47,Hard,2,6,0
8377,31,47,Clay,2,6,4
10408,281,47,Clay,2,6,4
1981,264,48,Hard,2,7,5
3697,380,48,Hard,2,1,0
4990,321,48,Hard,2,6,4
5806,223,48,Clay,2,6,2
6727,229,48,Clay,2,6,1
940,135,49,Clay,2,6,0
1438,143,50,Hard,2,6,2
7123,258,50,Hard,2,6,4
8032,147,50,Hard,2,7,6
8626,260,50,Hard,2,6,4
1570,144,51,Hard,2,7,6
2881,97,51,Hard,2,6,3
8950,214,52,Clay,2,6,2
391,371,53,Hard,2,6,3
1879,70,53,Hard,2,1,0
4921,321,53,Hard,2,6,3
544,161,54,Hard,2,6,4
5089,458,54,Hard,2,3,6
5449,235,54,Hard,2,6,2
952,271,55,Hard,2,6,3
5359,267,55,Hard,2,6,1
6304,64,55,Clay,2,6,0
8749,71,55,Clay,2,7,5
10120,345,55,Clay,2,6,3
3730,121,56,Hard,2,6,4
5947,78,56,Clay,2,6,1
8581,73,56,Hard,2,7,6
607,484,57,Clay,2,6,0
3994,204,57,Hard,2,6,4
5494,112,57,Hard,2,2,6
8980,439,57,Clay,2,6,4
9748,168,57,Clay,2,6,3
1339,36,58,Hard,2,6,3
2263,71,58,Hard,2,7,5
6724,223,58,Clay,2,3,6
7021,4,58,Hard,2,6,2
7957,103,58,Hard,2,5,7
8521,4,58,Hard,2,3,1
526,99,59,Hard,2,3,6
1231,199,59,Hard,2,6,2
1948,172,59,Hard,2,6,4
2437,197,59,Hard,2,6,2
4750,99,59,Hard,2,6,2
5557,127,59,Hard,2,7,6
6982,272,59,Hard,2,2,0
7939,9,59,Hard,2,6,4
8848,460,59,Hard,2,6,1
9970,266,59,Hard,2,6,2
124,369,60,Hard,2,6,4
1348,74,60,Hard,2,7,6
2278,37,60,Hard,2,7,6
2893,280,60,Hard,2,4,6
3796,214,60,Hard,2,6,7
6916,392,60,Hard,2,0,0
7084,193,60,Hard,2,6,4
8524,138,60,Hard,2,6,7
7414,124,61,Clay,2,6,1
2344,240,62,Hard,2,6,1
343,252,63,Hard,2,7,6
394,215,63,Hard,2,6,4
619,484,63,Clay,2,6,4
1120,241,63,Hard,2,6,4
1912,311,63,Hard,2,6,4
8986,120,63,Clay,2,6,3
3667,438,65,Hard,2,7,6
9409,410,65,Hard,2,6,1
10438,257,65,Clay,2,6,1
10822,381,65,Clay,2,5,7
4399,274,66,Clay,2,6,1
5782,263,66,Clay,2,6,3
6250,353,66,Clay,2,6,7
7105,8,66,Hard,2,7,6
7963,384,66,Hard,2,7,5
8482,90,66,Hard,2,6,3
10810,255,66,Clay,2,6,4
1516,487,67,Hard,2,7,6
9391,483,67,Hard,2,6,3
6919,190,68,Hard,2,7,5
4366,472,69,Hard,2,7,6
4705,390,69,Hard,2,7,6
5131,235,69,Hard,2,6,2
1849,57,70,Hard,2,0,6
3082,311,70,Hard,2,6,3
3613,103,70,Hard,2,6,3
4081,168,70,Clay,2,6,4
4435,453,70,Clay,2,4,6
5485,112,70,Hard,2,6,2
7339,181,70,Clay,2,3,2
8050,342,70,Clay,2,6,4
10213,453,70,Clay,2,6,3
1168,424,71,Hard,2,6,7
2896,22,71,Hard,2,6,3
3955,460,71,Hard,2,6,1
4777,59,71,Hard,2,6,3
5512,57,71,Hard,2,7,6
7354,229,71,Clay,2,6,1
8668,181,71,Clay,2,1,6
10231,453,71,Clay,2,6,1
10600,193,71,Hard,2,6,3
4564,66,72,Clay,2,4,6
8566,127,73,Hard,2,2,6
166,336,74,Hard,2,6,4
1330,280,74,Hard,2,6,0
5137,421,75,Hard,2,6,2
9394,472,75,Hard,2,7,6
4735,329,76,Hard,2,7,5
2641,166,77,Hard,2,1,6
2686,460,77,Hard,2,4,6
3304,306,77,Hard,2,7,5
4780,149,77,Hard,2,6,2
5218,447,77,Hard,2,7,6
5953,375,77,Hard,2,5,7
8971,214,77,Clay,2,6,2
5887,380,78,Clay,2,6,2
6322,31,78,Clay,2,7,6
