match,playerA,playerB,surface,A_points,B_Points
2438,229,358," Clay",0.6667,0.5556
2695,229,358," Clay",1.0000,0.5000
2920,442,358," Clay",1.0000,0.5556
3011,213,358," Clay",0.5000,0.5000
3257,166,358," Clay",1.0000,0.4444
601,329,359," Hard",1.0000,0.0000
1978,164,359," Clay",0.8000,0.8571
2113,55,359," Clay",0.0000,0.7333
1654,289,361," Hard",NULL,0.7273
3277,420,362," Clay",0.8333,0.5000
2624,309,363," Clay",0.0000,0.0000
3624,106,363," Clay",0.6667,0.6000
2823,381,364," Clay",0.7143,0.0000
2097,245,365," Clay",0.5455,0.4286
2190,345,365," Clay",0.4000,0.6667
2507,83,365," Clay",0.5000,0.5333
26,439,366," Hard",NULL,0.7143
1271,445,366," Hard",NULL,0.5000
1425,219,366," Hard",0.3333,0.7333
2300,397,366," Hard",0.0000,0.8571
2389,368,366," Clay",0.5000,0.5000
1352,22,367," Hard",0.0000,0.4545
12,311,368," Hard",1.0000,0.6000
147,241,368," Hard",0.0000,0.5714
680,460,368," Hard",1.0000,0.4000
3216,1,368," Clay",0.6000,0.5833
1665,196,369," Hard",0.6000,0.5000
3003,168,369," Clay",0.4444,0.5385
3273,83,369," Clay",0.6000,0.2857
190,161,370," Hard",0.5000,0.3333
174,243,371," Hard",0.7500,0.4444
269,275,371," Clay",0.5000,0.0000
1875,274,371," Clay",1.0000,0.5714
2271,486,371," Hard",0.5000,0.5000
2388,11,371," Clay",NULL,0.6667
2550,37,371," Clay",0.5000,0.6667
1965,163,372," Clay",1.0000,0.3750
2383,211,372," Hard",NULL,0.1667
2875,121,372," Hard",NULL,0.0000
654,103,373," Hard",1.0000,0.5714
7,464,374," Hard",0.0000,0.7500
104,169,374," Clay",0.3333,0.5714
156,274,374," Clay",0.5000,0.4286
1475,442,374," Clay",0.0000,0.5833
2115,78,374," Clay",0.4286,0.5455
3206,244,374," Clay",0.6250,0.7059
121,362,375," Hard",0.7143,0.5000
674,460,375," Hard",1.0000,0.5556
1653,160,375," Hard",0.6667,0.4000
62,343,376," Hard",NULL,0.6364
1324,111,376," Hard",0.4286,0.6429
3433,453,376," Clay",1.0000,0.5000
2751,295,377," Hard",NULL,0.2857
3623,245,378," Clay",0.6667,0.5556
1877,245,379," Clay",1.0000,0.8889
1218,352,380," Hard",0.7778,0.6250
1395,228,380," Clay",0.4286,0.4000
1503,353,380," Clay",0.6923,0.0000
1929,272,380," Clay",0.6667,0.7000
2372,193,380," Hard",0.8000,0.6667
2829,4,380," Hard",0.0000,0.8333
3210,157,381," Clay",0.8571,0.7273
3228,184,381," Clay",0.4286,0.5833
3461,155,381," Clay",0.4444,0.7000
3594,411,381," Clay",0.7500,0.5556
1249,147,382," Hard",0.8333,0.3333
2146,138,382," Clay",1.0000,0.6667
1231,103,383," Hard",0.0000,0.5000
2290,486,383," Hard",0.7143,0.3750
2390,219,383," Clay",0.8333,0.3333
2557,219,383," Clay",1.0000,0.6250
2731,257,383," Hard",NULL,0.2500
3483,458,383," Clay",0.5000,0.4286
193,374,384," Clay",0.0000,0.3750
311,140,384," Clay",0.0000,0.6364
1220,35,384," Hard",0.5000,0.5455
1509,229,384," Clay",1.0000,0.6667
1948,475,384," Clay",0.6364,0.6000
2124,326,384," Clay",0.7143,0.6667
2214,229,384," Clay",NULL,0.2000
2348,92,384," Hard",0.6364,0.5000
2830,243,384," Hard",0.0000,0.5000
2734,94,385," Hard",0.3333,0.6667
2807,349,386," Clay",0.9167,0.2000
3230,244,386," Clay",0.0000,0.2000
1471,66,387," Clay",0.5714,0.5000
2132,127,387," Clay",0.8000,0.6000
3197,157,387," Clay",0.4000,0.5455
3270,125,387," Clay",0.2500,0.3750
3632,440,389," Clay",0.5000,0.2857
1555,17,390," Hard",0.8000,0.5000
1721,288,390," Hard",0.0000,0.5000
1827,319,390," Hard",1.0000,0.5000
2200,23,390," Clay",0.0000,0.6364
1629,392,391," Hard",0.7500,0.2500
608,466,392," Hard",0.8000,0.7143
1240,406,392," Hard",1.0000,0.3333
1602,401,392," Hard",1.0000,0.3333
2299,443,392," Hard",0.8000,0.6667
1830,99,393," Hard",0.8000,0.2500
2586,245,393," Clay",0.6000,0.3333
2782,465,393," Clay",0.3333,0.2222
3201,157,393," Clay",0.5714,0.4000
834,309,394," Hard",0.5714,0.5833
1247,392,394," Hard",NULL,0.0000
1581,155,395," Hard",0.6000,0.2000
1724,235,395," Hard",NULL,0.0000
2420,329,395," Clay",0.7500,0.5000
1301,489,396," Hard",1.0000,0.4286
1076,43,397," Hard",0.7500,0.5000
2285,128,397," Hard",1.0000,0.6667
86,287,398," Hard",0.6667,0.6667
226,29,398," Clay",0.6364,0.4545
1537,17,398," Hard",0.5000,0.6000
1798,55,398," Hard",0.8889,0.0000
2597,294,398," Clay",NULL,0.0000
44,387,399," Hard",0.7143,0.3333
767,155,399," Hard",NULL,NULL
2758,82,399," Hard",0.7500,0.6154
3564,82,399," Hard",1.0000,0.3333
8,475,400," Hard",NULL,0.7500
1591,201,401," Hard",0.5000,0.6667
1863,402,401," Hard",0.8750,0.3750
1852,234,402," Hard",NULL,0.4286
1856,39,403," Hard",0.8000,0.6000
2354,223,403," Hard",0.8125,0.5000
2832,66,403," Hard",0.4167,0.4444
2211,303,404," Clay",0.7500,0.2222
129,33,405," Hard",0.5000,0.7143
1762,166,405," Hard",0.2500,0.7333
2358,136,405," Hard",NULL,NULL
3069,255,405," Clay",0.2500,0.5455
3595,90,405," Clay",0.3333,0.6667
657,70,406," Hard",1.0000,0.7692
762,489,406," Hard",0.6667,0.6154
993,51,406," Hard",0.5000,0.4286
1216,22,406," Hard",0.6000,0.5000
1346,326,406," Hard",0.7500,0.4286
1660,262,406," Hard",0.5000,0.5455
463,149,407," Hard",0.0000,0.5556
536,171,407," Hard",1.0000,0.6000
787,330,407," Hard",0.4000,0.6667
2948,433,408," Hard",0.5000,0.5000
3330,215,408," Hard",0.7500,0.5000
3351,202,409," Hard",0.0000,0.4286
3136,119,410," Hard",1.0000,0.6667
292,226,411," Clay",0.8333,0.2500
1908,353,411," Clay",1.0000,0.4286
2101,96,411," Clay",1.0000,0.6667
3043,153,411," Clay",0.6667,0.1429
3587,90,411," Clay",0.4286,0.5833
145,343,412," Hard",0.6667,0.2000
254,120,412," Clay",0.8000,0.0000
700,120,412," Hard",0.6667,0.5556
1342,287,412," Hard",0.5000,0.6667
1661,425,412," Hard",0.4000,0.5000
2004,447,412," Hard",0.6667,0.6000
2797,45,412," Clay",0.6667,0.3333
32,4,413," Hard",NULL,0.4444
1098,418,413," Hard",1.0000,0.5556
2143,127,414," Clay",0.6667,0.4000
2259,48,414," Clay",0.8000,0.2000
2376,136,414," Hard",0.0000,0.2857
991,240,415," Hard",0.7778,0.3333
1290,489,415," Hard",1.0000,0.6667
1309,265,416," Hard",0.7500,0.5556
1451,177,416," Hard",1.0000,0.5556
1311,487,417," Hard",1.0000,0.4000
1464,177,417," Hard",1.0000,0.6250
2297,111,417," Hard",0.8000,0.5556
3158,7,417," Hard",0.6000,0.3750
3637,378,417," Clay",1.0000,0.3333
492,472,418," Hard",1.0000,0.7500
1070,486,418," Hard",NULL,0.3333
3520,320,418," Clay",0.8750,0.7143
682,375,419," Hard",NULL,0.0000
1356,168,419," Clay",0.6667,0.9000
1497,274,419," Clay",0.6667,0.2500
1876,168,419," Clay",0.9286,0.0000
2155,275,419," Clay",0.5000,0.4000
3200,248,419," Clay",NULL,NULL
136,371,420," Hard",0.6667,0.3750
1328,358,420," Hard",0.7500,0.1667
2429,181,420," Clay",0.6000,0.5714
3000,77,420," Clay",0.6667,0.8182
92,226,421," Hard",0.5556,0.4444
250,439,421," Clay",1.0000,0.5000
270,83,421," Clay",0.5714,0.3750
395,63,421," Hard",0.5000,0.6923
1536,345,421," Hard",0.7500,0.6250
2501,168,421," Clay",1.0000,0.0000
179,125,422," Hard",1.0000,0.5000
2069,168,422," Clay",0.7500,0.3333
2174,275,422," Clay",1.0000,0.0000
1984,186,423," Clay",NULL,0.3333
379,161,424," Hard",1.0000,0.7000
958,58,424," Hard",1.0000,0.8333
1285,366,424," Hard",0.3333,0.3333
1413,219,424," Hard",0.5714,0.3750
1736,166,424," Hard",0.5556,0.6667
1995,77,424," Hard",0.7500,0.4000
3050,208,424," Clay",0.6429,0.5333
3432,252,424," Clay",0.4000,0.2000
1637,321,425," Hard",0.8750,0.6667
489,155,426," Hard",0.5556,0.5455
745,126,426," Hard",0.6000,0.5000
964,245,426," Hard",0.5000,0.5000
3001,345,426," Clay",0.5714,0.4286
404,445,427," Hard",NULL,0.6667
189,54,428," Hard",0.4286,0.0000
1079,40,428," Hard",0.7500,0.4286
1881,371,428," Clay",0.7500,0.4444
1902,353,428," Clay",0.7273,0.6923
2785,452,428," Clay",0.4286,0.5000
3057,411,428," Clay",1.0000,0.3333
2017,251,429," Hard",0.5000,0.8333
1287,234,430," Hard",1.0000,0.5000
773,330,431," Hard",1.0000,0.7000
2974,472,431," Hard",NULL,NULL
38,369,432," Hard",0.5556,0.3750
2439,169,432," Clay",0.6667,0.6667
3408,70,432," Clay",0.6250,0.5000
336,55,433," Hard",0.6923,0.4286
639,92,433," Hard",0.7273,0.6923
821,266,433," Hard",0.7143,0.7778
1410,481,433," Hard",0.6667,0.4000
1549,421,433," Hard",0.0000,0.3333
2272,486,433," Hard",0.5714,0.3333
2937,266,433," Hard",0.7143,0.6250
3111,198,433," Hard",0.8000,0.7273
3309,297,433," Hard",0.3333,0.6667
99,133,434," Clay",0.0000,0.0000
51,128,435," Hard",0.8571,0.5000
581,241,435," Hard",0.5000,0.2500
866,325,435," Hard",0.6000,0.3750
919,1,435," Hard",0.8000,0.4286
3148,119,435," Hard",0.8000,0.0000
3527,193,435," Hard",0.6667,0.5000
1923,275,436," Clay",0.6667,0.3750
2467,359,437," Clay",0.7500,0.0000
1206,70,438," Hard",NULL,NULL
2228,229,439," Clay",1.0000,0.4286
2988,168,439," Clay",0.7500,0.7500
3269,358,439," Clay",NULL,0.6000
1162,421,440," Hard",1.0000,0.5000
3620,115,440," Clay",1.0000,0.4000
2474,83,441," Clay",0.3333,0.4444
211,420,442," Clay",0.5000,0.6316
1470,226,442," Clay",0.7692,0.5833
2434,133,442," Clay",0.6429,0.6875
2685,181,442," Clay",0.3333,0.7000
2896,71,442," Clay",0.8182,0.5556
494,122,443," Hard",0.8000,0.1667
2284,162,443," Hard",0.0000,0.1667
2564,466,443," Clay",1.0000,0.2500
1232,352,444," Hard",NULL,0.0000
1662,311,444," Hard",1.0000,0.0000
2258,229,444," Clay",0.5000,0.6667
2342,90,444," Hard",NULL,0.6667
2645,141,444," Hard",0.8000,0.5714
2835,243,444," Hard",0.8000,0.5000
285,282,445," Clay",1.0000,0.2500
523,462,445," Hard",NULL,NULL
1261,219,445," Hard",0.6667,0.3333
3365,345,445," Clay",0.7692,0.5556
3532,177,445," Hard",NULL,0.7143
110,422,446," Hard",0.7273,0.7143
139,92,446," Hard",0.7333,0.5000
252,233,446," Clay",0.3333,0.4000
636,342,446," Hard",0.5000,0.5714
798,266,446," Hard",1.0000,0.5000
1336,111,446," Hard",0.7778,0.7333
93,287,447," Hard",0.6667,0.5000
276,421,447," Clay",0.8750,0.2000
418,280,447," Hard",1.0000,0.4444
729,246,447," Hard",0.8000,0.6250
1106,77,447," Hard",0.3333,0.1429
1264,445,447," Hard",NULL,0.4286
1728,166,447," Hard",0.7500,0.4286
1989,77,447," Hard",0.6667,0.5000
2503,341,447," Clay",0.9091,0.6000
3062,424,447," Clay",0.6667,0.6429
2381,138,448," Hard",0.5000,0.6000
2661,225,448," Hard",NULL,0.0000
2857,138,448," Hard",1.0000,0.3333
3556,82,448," Hard",NULL,0.6667
597,12,449," Hard",0.6667,0.6000
710,481,449," Hard",1.0000,0.6250
929,244,449," Hard",0.5000,0.2500
1848,92,450," Hard",0.6667,0.5000
1513,200,451," Clay",0.0000,0.4000
84,325,452," Hard",1.0000,0.6000
1131,257,452," Hard",0.3333,0.6667
1170,1,452," Hard",0.7500,0.5556
3208,248,452," Clay",0.6923,0.4286
158,64,453," Clay",0.6923,0.5833
197,354,453," Clay",0.6667,0.3333
271,439,453," Clay",0.6667,0.7000
1469,274,453," Clay",0.3333,0.5556
3008,343,453," Clay",1.0000,0.7778
2311,417,454," Hard",NULL,0.8750
67,343,455," Hard",0.0000,0.6667
313,223,455," Clay",0.6667,0.6000
701,368,455," Hard",1.0000,0.6000
845,27,455," Hard",0.8000,0.1667
872,94,455," Hard",0.8333,0.3333
1201,3,455," Hard",1.0000,0.0000
2009,119,455," Hard",1.0000,0.5714
3160,383,455," Hard",0.5000,0.4545
3497,329,455," Clay",1.0000,0.6000
483,152,456," Hard",0.7500,0.2000
752,243,456," Hard",0.3333,0.0000
957,243,456," Hard",0.7500,0.6667
2286,297,456," Hard",NULL,0.5000
2391,128,456," Clay",0.6364,0.5000
2539,235,456," Clay",0.5000,0.5000
2939,219,456," Hard",0.8333,0.5455
3144,65,456," Hard",0.7500,0.5000
3467,257,456," Clay",0.7500,0.3333
3600,251,456," Clay",0.8000,0.5000
1869,402,457," Hard",0.6667,0.7500
127,362,458," Hard",0.6667,0.5714
239,287,458," Clay",0.3333,0.2000
424,199,458," Hard",0.5000,0.2500
702,27,458," Hard",0.6667,0.5000
920,460,458," Hard",NULL,0.0000
1159,1,458," Hard",0.7000,0.2857
1683,433,458," Hard",0.6000,0.7143
1753,447,458," Hard",0.3333,0.4286
1992,276,458," Hard",0.7273,0.6000
2778,294,458," Clay",1.0000,0.7143
3140,410,458," Hard",1.0000,0.6667
3465,257,458," Clay",0.0000,0.5556
25,422,459," Hard",0.6000,0.7143
49,89,459," Hard",0.8333,0.2000
279,120,459," Clay",0.0000,0.0000
913,340,459," Hard",0.5714,0.6000
1122,447,459," Hard",0.7500,0.0000
1921,83,459," Clay",0.8000,0.7333
2393,371,459," Clay",0.0000,0.3333
3199,244,459," Clay",0.6667,0.4286
3588,29,459," Clay",NULL,0.5000
1316,287,460," Hard",0.8750,0.6000
2942,199,460," Hard",0.8000,0.3333
3085,484,460," Hard",0.7143,0.5556
3302,297,460," Hard",0.7500,0.5000
3240,269,461," Clay",NULL,0.4000
512,33,462," Hard",1.0000,0.6000
1956,272,462," Clay",1.0000,0.6667
2840,66,462," Hard",1.0000,0.8000
1502,211,463," Clay",1.0000,0.3750
2,215,464," Hard",0.9000,0.5000
278,453,464," Clay",1.0000,0.6250
898,244,464," Hard",1.0000,0.5000
1675,488,464," Hard",0.7500,0.6364
1844,70,464," Hard",0.6667,0.6429
