SET,playerA,playerB,Surface,Type,A_points,B_Points
3566,142,3,Hard,3,6,2
80,428,4,Hard,3,6,4
7901,215,4,Hard,3,6,3
1796,140,5,Hard,3,6,2
8276,173,5,Hard,3,6,4
5237,424,7,Hard,3,7,6
9437,410,7,Hard,3,7,6
5885,244,8,Clay,3,7,6
6452,260,8,Clay,3,7,5
7082,121,8,Hard,3,6,2
7979,380,8,Hard,3,6,3
8537,444,8,Hard,3,7,6
944,220,9,Clay,3,7,5
4811,141,9,Hard,3,6,3
7079,211,9,Hard,3,6,3
8528,380,9,Hard,3,6,2
5921,372,10,Clay,3,6,3
7643,456,11,Clay,3,6,0
10643,71,12,Hard,3,6,1
224,136,14,Clay,3,7,6
4448,226,14,Clay,3,6,2
5681,371,14,Clay,3,6,3
10151,174,14,Clay,3,6,4
5081,233,17,Hard,3,6,4
5366,55,17,Hard,3,6,3
1364,36,18,Hard,3,7,5
7706,265,19,Clay,3,6,2
10019,302,19,Hard,3,7,6
266,325,20,Hard,3,6,4
2852,271,22,Hard,3,6,3
3992,92,22,Hard,3,6,3
5324,337,24,Hard,3,6,4
866,84,27,Clay,3,6,3
1688,241,27,Hard,3,6,1
2060,368,27,Hard,3,7,6
3758,121,28,Hard,3,6,3
1766,274,29,Hard,3,6,2
3464,421,29,Hard,3,6,1
7322,55,29,Clay,3,6,3
10832,90,30,Clay,3,6,3
308,387,31,Clay,3,2,1
7733,245,31,Clay,3,7,5
8315,294,31,Clay,3,7,5
41,325,33,Hard,3,7,6
728,376,35,Clay,3,6,2
842,282,35,Clay,3,6,4
3623,438,35,Hard,3,6,2
5690,419,35,Clay,3,6,1
7112,60,36,Hard,3,7,6
2216,484,37,Hard,3,6,3
2879,36,37,Hard,3,7,6
4277,178,37,Hard,3,6,4
2459,31,39,Hard,3,7,6
4052,406,39,Hard,3,7,6
7007,92,39,Hard,3,6,4
7892,9,39,Hard,3,6,1
4826,99,40,Hard,3,6,4
3935,69,42,Hard,3,6,4
4484,352,45,Clay,3,6,0
5702,245,45,Clay,3,6,4
6587,303,45,Clay,3,7,5
10787,29,45,Clay,3,6,3
6233,205,46,Clay,3,6,4
10409,281,47,Clay,3,6,4
1982,264,48,Hard,3,7,5
4991,321,48,Hard,3,7,5
8627,260,50,Hard,3,7,6
2882,97,51,Hard,3,6,4
5090,458,54,Hard,3,6,3
8750,71,55,Clay,3,6,4
10121,345,55,Clay,3,7,6
5948,78,56,Clay,3,6,2
5495,112,57,Hard,3,6,3
6725,223,58,Clay,3,6,3
7022,4,58,Hard,3,7,5
7958,103,58,Hard,3,6,4
527,99,59,Hard,3,6,3
1949,172,59,Hard,3,6,4
2438,197,59,Hard,3,7,6
8849,460,59,Hard,3,6,3
9971,266,59,Hard,3,6,1
1349,74,60,Hard,3,6,2
2279,37,60,Hard,3,6,2
2894,280,60,Hard,3,7,6
3797,214,60,Hard,3,6,3
8525,138,60,Hard,3,6,1
8987,120,63,Clay,3,7,5
10823,381,65,Clay,3,6,3
4400,274,66,Clay,3,6,1
6251,353,66,Clay,3,7,6
7106,8,66,Hard,3,6,2
1517,487,67,Hard,3,2,0
6920,190,68,Hard,3,6,3
1850,57,70,Hard,3,6,4
4436,453,70,Clay,3,6,1
10214,453,70,Clay,3,6,2
1169,424,71,Hard,3,6,1
5513,57,71,Hard,3,6,4
8669,181,71,Clay,3,6,4
