id_liga,date_partido,equipo_local,equipo_visitante,goles_local,goles_visitante,resultado,dates,id,name,id,name,team,do,recieve,team,do,recieve
E0,01/01/18,Brighton,Bournemouth,2,2,D,"2018-01-01 00:00:00",3,Brighton,2,Bournemouth,3,0.894736842,1.421052632,2,1.184210526,1.605263158
E0,10/12/16,Burnley,Bournemouth,3,2,H,"2016-12-10 00:00:00",4,Burnley,2,Bournemouth,4,0.947368421,1.026315789,2,1.184210526,1.605263158
E0,13/05/18,Burnley,Bournemouth,1,2,A,"2018-05-13 00:00:00",4,Burnley,2,Bournemouth,4,0.947368421,1.026315789,2,1.184210526,1.605263158
E0,26/12/16,Chelsea,Bournemouth,3,0,H,"2016-12-26 00:00:00",5,Chelsea,2,Bournemouth,5,1.631578947,1,2,1.184210526,1.605263158
E0,31/01/18,Chelsea,Bournemouth,0,3,A,"2018-01-31 00:00:00",5,Chelsea,2,Bournemouth,5,1.631578947,1,2,1.184210526,1.605263158
E0,27/08/16,"Crystal Palace",Bournemouth,1,1,D,"2016-08-27 00:00:00",6,"Crystal Palace",2,Bournemouth,6,1.184210526,1.447368421,2,1.184210526,1.605263158
E0,09/12/17,"Crystal Palace",Bournemouth,2,2,D,"2017-12-09 00:00:00",6,"Crystal Palace",2,Bournemouth,6,1.184210526,1.447368421,2,1.184210526,1.605263158
E0,04/02/17,Everton,Bournemouth,6,3,H,"2017-02-04 00:00:00",7,Everton,2,Bournemouth,7,1.157894737,1.526315789,2,1.184210526,1.605263158
E0,23/09/17,Everton,Bournemouth,2,1,H,"2017-09-23 00:00:00",7,Everton,2,Bournemouth,7,1.157894737,1.526315789,2,1.184210526,1.605263158
E0,11/02/18,Huddersfield,Bournemouth,4,1,H,"2018-02-11 00:00:00",8,Huddersfield,2,Bournemouth,8,0.736842105,1.526315789,2,1.184210526,1.605263158
E0,21/05/17,Leicester,Bournemouth,1,1,D,"2017-05-21 00:00:00",9,Leicester,2,Bournemouth,9,1.473684211,1.578947368,2,1.184210526,1.605263158
E0,03/03/18,Leicester,Bournemouth,1,1,D,"2018-03-03 00:00:00",9,Leicester,2,Bournemouth,9,1.473684211,1.578947368,2,1.184210526,1.605263158
E0,05/04/17,Liverpool,Bournemouth,2,2,D,"2017-04-05 00:00:00",10,Liverpool,2,Bournemouth,10,2.210526316,1,2,1.184210526,1.605263158
E0,14/04/18,Liverpool,Bournemouth,3,0,H,"2018-04-14 00:00:00",10,Liverpool,2,Bournemouth,10,2.210526316,1,2,1.184210526,1.605263158
E0,17/09/16,"Man City",Bournemouth,4,0,H,"2016-09-17 00:00:00",11,"Man City",2,Bournemouth,11,2.789473684,0.710526316,2,1.184210526,1.605263158
E0,23/12/17,"Man City",Bournemouth,4,0,H,"2017-12-23 00:00:00",11,"Man City",2,Bournemouth,11,2.789473684,0.710526316,2,1.184210526,1.605263158
E0,04/03/17,"Man United",Bournemouth,1,1,D,"2017-03-04 00:00:00",12,"Man United",2,Bournemouth,12,1.789473684,0.736842105,2,1.184210526,1.605263158
E0,13/12/17,"Man United",Bournemouth,1,0,H,"2017-12-13 00:00:00",12,"Man United",2,Bournemouth,12,1.789473684,0.736842105,2,1.184210526,1.605263158
E0,04/11/17,Newcastle,Bournemouth,0,1,A,"2017-11-04 00:00:00",13,Newcastle,2,Bournemouth,13,1.026315789,1.236842105,2,1.184210526,1.605263158
E0,01/04/17,Southampton,Bournemouth,0,0,D,"2017-04-01 00:00:00",14,Southampton,2,Bournemouth,14,0.973684211,1.473684211,2,1.184210526,1.605263158
E0,28/04/18,Southampton,Bournemouth,2,1,H,"2018-04-28 00:00:00",14,Southampton,2,Bournemouth,14,0.973684211,1.473684211,2,1.184210526,1.605263158
E0,19/11/16,Stoke,Bournemouth,0,1,A,"2016-11-19 00:00:00",15,Stoke,2,Bournemouth,15,0.921052632,1.789473684,2,1.184210526,1.605263158
E0,21/10/17,Stoke,Bournemouth,1,2,A,"2017-10-21 00:00:00",15,Stoke,2,Bournemouth,15,0.921052632,1.789473684,2,1.184210526,1.605263158
E0,31/12/16,Swansea,Bournemouth,0,3,A,"2016-12-31 00:00:00",16,Swansea,2,Bournemouth,16,0.736842105,1.473684211,2,1.184210526,1.605263158
E0,25/11/17,Swansea,Bournemouth,0,0,D,"2017-11-25 00:00:00",16,Swansea,2,Bournemouth,16,0.736842105,1.473684211,2,1.184210526,1.605263158
E0,15/04/17,Tottenham,Bournemouth,4,0,H,"2017-04-15 00:00:00",17,Tottenham,2,Bournemouth,17,1.947368421,0.947368421,2,1.184210526,1.605263158
E0,14/10/17,Tottenham,Bournemouth,1,0,H,"2017-10-14 00:00:00",17,Tottenham,2,Bournemouth,17,1.947368421,0.947368421,2,1.184210526,1.605263158
