id,name,id,name,correct,FS,SS,TS
460,"Vasek Pospisil",1,"Adam Pavlasek",0.6949311498484141,-0.0735930730000014,0.5800865799999997,-0.9999999999999982
233,"Jurgen Zopp",1,"Adam Pavlasek",0.5513000720418485,-1.525974025,-1.5389610390000001,-0.7499999999999982
245,"Kimmer Coppejans",1,"Adam Pavlasek",0.40406242197582676,-1.0454545449999983,-0.09090909100000033,-1.7499999999999982
230,"Julian Lenz",2,"Adelchi Virgili",0.45692107012046196,4.285714286,4.000000000000001,-4
46,"Aslan Karatsev",3,"Adrian Bodmer",0.4716550023839561,0.9499999999999993,1.25,2
142,"Filippo Baldi",3,"Adrian Bodmer",0.589099040740607,-0.25,-0.625,7.5
428,"Sumit Nagal",4,"Adrian Menendez Maceiras",0.3572433226342437,1.7058823529999998,-2.5133689849999996,-1.4523809520000004
358,"Peter Polansky",4,"Adrian Menendez Maceiras",0.45027408263097224,1.150326798,-1.8366013080000005,-1.0357142849999992
277,"Marcos Giron",4,"Adrian Menendez Maceiras",0.2447299724953182,2.0392156859999986,-0.6421568640000004,-2.785714284999999
287,"Martin Klizan",4,"Adrian Menendez Maceiras",0.45376385090358107,2.5392156860000004,0.16339869199999946,1.0476190480000014
90,"Danilo Petrovic",4,"Adrian Menendez Maceiras",0.37688136881981693,0.7647058829999978,-0.5294117650000008,-0.6190476179999997
215,"John Patrick Smith",4,"Adrian Menendez Maceiras",0.4061164445162852,0.7058823529999998,-0.13574660699999974,-0.48571428500000025
140,"Filip Horansky",5,"Adrien Bossel",0.6872830037768053,2.1999999999999993,0.9000000000000004,0.5833333329999988
435,"Teymuraz Gabashvili",5,"Adrien Bossel",0.757963725987426,1.8666666669999987,-0.9749999999999996,-3.1666666670000003
118,"Edward Corrie",5,"Adrien Bossel",0.5932973705611774,1.5999999999999979,0.3999999999999986,-5
173,"Harri Heliovaara",5,"Adrien Bossel",0.5866113983613019,1.1999999999999993,0.06666666699999979,0.3333333329999988
8,"Alejandro Gomez Gb42",6,"Agustin Velotti",0.3916810130182457,0.653846154,4.153846154,-1.8571428569999995
422,"Stefano Travaglia",7,"Aldin Setkic",0.5729358109492768,2.726190476000001,0.2976190480000014,1.6666666659999976
371,"Ramkumar Ramanathan",7,"Aldin Setkic",0.644900332145966,1.6428571430000005,0.571428571000002,3
125,"Ernests Gulbis",7,"Aldin Setkic",0.49763450157031414,2.6428571429999987,1.0142857139999997,1.5
424,"Stephane Robert",7,"Aldin Setkic",0.5516518018538756,2.1428571430000005,0.40178571399999896,0.1666666670000012
384,"Roberto Quiroz",7,"Aldin Setkic",0.3696083168323059,0.8533834589999998,1.0563909769999995,0.25
462,"Victor Estrella",7,"Aldin Setkic",0.5608296340327673,2.0178571430000005,-0.41071428600000104,2
4,"Adrian Menendez Maceiras",7,"Aldin Setkic",0.6095593207155174,0.9369747900000007,1.2731092440000005,1.2857142849999992
410,"Sergey Betov",7,"Aldin Setkic",0.09560985630817924,3.5,0.7857142849999992,2
456,"Tsung Hua Yang",7,"Aldin Setkic",0.5145938664914763,0.9553571430000005,-0.660714286000001,0.5999999999999996
80,"Daniel Brands",7,"Aldin Setkic",0.43361629685297,1.976190476000001,2.2142857140000007,0
174,"Henri Laaksonen",8,"Alejandro Gomez Gb42",0.9261894518460023,-2.615384615,-2.615384616,4.8571428569999995
244,"Kevin Krawietz",8,"Alejandro Gomez Gb42",0.7402603430072578,0.5794871789999991,-0.2871794869999995,1.8571428569999995
260,"Luis David Martinez",8,"Alejandro Gomez Gb42",0.25638398641343674,0.5128205130000012,0.06837606799999918,0.10714285699999948
163,"Gonzalo Escobar",8,"Alejandro Gomez Gb42",0.7737977695240694,0.44615384599999963,1.2461538460000003,0.6071428569999995
121,"Emilio Gomez",8,"Alejandro Gomez Gb42",0.6627761601926212,1.1188811179999991,-2.426573425999999,0.6904761899999983
380,"Roberto Cid",8,"Alejandro Gomez Gb42",0.7950749034548041,0.21457489900000049,0.5683760679999992,1.4025974020000014
444,"Tigre Hank",8,"Alejandro Gomez Gb42",0.3112755240718077,-2.153846154,-4.725274726,1.8571428569999995
220,"Jordi Samper Montana",9,"Alejandro Gonzalez",0.3681689504510062,0.444444445000002,-2.1666666659999994,3.499999998999998
241,"Kenny De Schepper",9,"Alejandro Gonzalez",0.7203417402575469,0.11111111200000146,-0.75,0.8333333329999988
197,"Jared Hiltzik",9,"Alejandro Gonzalez",0.4386202309320721,-0.17320261399999914,-2.049019607,0.8333333329999988
141,"Filip Peliwo",9,"Alejandro Gonzalez",0.645127491606629,-0.19841269800000028,-1.2619047610000003,-0.4166666670000012
163,"Gonzalo Escobar",9,"Alejandro Gonzalez",0.41468151114885704,0.5444444449999999,1.2333333339999992,0.5833333329999988
211,"Joao Souza",9,"Alejandro Gonzalez",0.502656259597895,0.00694444500000202,-1.6666666659999994,0
215,"John Patrick Smith",9,"Alejandro Gonzalez",0.5891696107329916,-0.05555555499999798,-0.24358974299999936,1.6333333329999995
380,"Roberto Cid",9,"Alejandro Gonzalez",0.46133402408469515,0.31286549800000074,0.5555555560000016,1.378787877999999
127,"Evan Song",10,"Alejandro Mendoza",0.9174528347568072,-0.153846154,4.076923077,5.5
372,"Raul Isaias Rosas Zarur",10,"Alejandro Mendoza",0.3568241462474829,-4.25,0.75,6
456,"Tsung Hua Yang",11,"Aleksandr Nedovyesov",0.4599781021685209,-0.9375,-1.875,6.6
324,"Miljan Zekic",11,"Aleksandr Nedovyesov",0.4226796732584353,-1.25,-2.8000000000000007,7
