date,id,name,id,name,correct,FS,SS,TS,mult
20180205,460,"Vasek Pospisil",1,"Adam Pavlasek",0.6949311498484141,-0.0735930730000014,0.5800865799999997,-0.9999999999999982,1.345989263628289
20180219,233,"Jurgen Zopp",1,"Adam Pavlasek",0.5513000720418485,-1.525974025,-1.5389610390000001,-0.7499999999999982,1.0118032464246607
20180326,245,"Kimmer Coppejans",1,"Adam Pavlasek",0.40406242197582676,-1.0454545449999983,-0.09090909100000033,-1.7499999999999982,1.354381795060866
20180514,230,"Julian Lenz",2,"Adelchi Virgili",0.45692107012046196,4.285714286,4.000000000000001,-4,1.4031659231861116
20180212,46,"Aslan Karatsev",3,"Adrian Bodmer",0.4716550023839561,0.9499999999999993,1.25,2,1.2860175845703894
20180219,142,"Filippo Baldi",3,"Adrian Bodmer",0.589099040740607,-0.25,-0.625,7.5,1.2205901737827096
20180101,428,"Sumit Nagal",4,"Adrian Menendez Maceiras",0.3572433226342437,1.7058823529999998,-2.5133689849999996,-1.4523809520000004,1.244898135691476
20180219,358,"Peter Polansky",4,"Adrian Menendez Maceiras",0.45027408263097224,1.150326798,-1.8366013080000005,-1.0357142849999992,1.5627201775983472
20180226,277,"Marcos Giron",4,"Adrian Menendez Maceiras",0.2447299724953182,2.0392156859999986,-0.6421568640000004,-2.785714284999999,1.0789065014064063
20180326,287,"Martin Klizan",4,"Adrian Menendez Maceiras",0.45376385090358107,2.5392156860000004,0.16339869199999946,1.0476190480000014,1.0397053280594188
20180416,90,"Danilo Petrovic",4,"Adrian Menendez Maceiras",0.37688136881981693,0.7647058829999978,-0.5294117650000008,-0.6190476179999997,1.6284738232336384
20180423,215,"John Patrick Smith",4,"Adrian Menendez Maceiras",0.4061164445162852,0.7058823529999998,-0.13574660699999974,-0.48571428500000025,1.3565864858123657
20180115,140,"Filip Horansky",5,"Adrien Bossel",0.6872830037768053,2.1999999999999993,0.9000000000000004,0.5833333329999988,1.5641776465166775
20180122,435,"Teymuraz Gabashvili",5,"Adrien Bossel",0.757963725987426,1.8666666669999987,-0.9749999999999996,-3.1666666670000003,1.4177954623020523
20180312,118,"Edward Corrie",5,"Adrien Bossel",0.5932973705611774,1.5999999999999979,0.3999999999999986,-5,1.396444392449326
20180430,173,"Harri Heliovaara",5,"Adrien Bossel",0.5866113983613019,1.1999999999999993,0.06666666699999979,0.3333333329999988,1.062168929162903
20180423,8,"Alejandro Gomez Gb42",6,"Agustin Velotti",0.3916810130182457,0.653846154,4.153846154,-1.8571428569999995,1.4548448222889672
20180101,422,"Stefano Travaglia",7,"Aldin Setkic",0.5729358109492768,2.726190476000001,0.2976190480000014,1.6666666659999976,1.0877173444452237
20180430,371,"Ramkumar Ramanathan",7,"Aldin Setkic",0.644900332145966,1.6428571430000005,0.571428571000002,3,1.4073856091816466
20180219,125,"Ernests Gulbis",7,"Aldin Setkic",0.49763450157031414,2.6428571429999987,1.0142857139999997,1.5,1.440442699728325
20180319,424,"Stephane Robert",7,"Aldin Setkic",0.5516518018538756,2.1428571430000005,0.40178571399999896,0.1666666670000012,1.3133900249191157
20180409,384,"Roberto Quiroz",7,"Aldin Setkic",0.3696083168323059,0.8533834589999998,1.0563909769999995,0.25,1.2456220458996998
20180416,462,"Victor Estrella",7,"Aldin Setkic",0.5608296340327673,2.0178571430000005,-0.41071428600000104,2,1.2879401752302486
20180423,4,"Adrian Menendez Maceiras",7,"Aldin Setkic",0.6095593207155174,0.9369747900000007,1.2731092440000005,1.2857142849999992,1.036168092274574
20180507,410,"Sergey Betov",7,"Aldin Setkic",0.09560985630817924,3.5,0.7857142849999992,2,1.650353289504554
20180514,456,"Tsung Hua Yang",7,"Aldin Setkic",0.5145938664914763,0.9553571430000005,-0.660714286000001,0.5999999999999996,1.4765955245214784
20180521,80,"Daniel Brands",7,"Aldin Setkic",0.43361629685297,1.976190476000001,2.2142857140000007,0,1.431917774582826
20180312,174,"Henri Laaksonen",8,"Alejandro Gomez Gb42",0.9261894518460023,-2.615384615,-2.615384616,4.8571428569999995,1.063135653172125
20180326,244,"Kevin Krawietz",8,"Alejandro Gomez Gb42",0.7402603430072578,0.5794871789999991,-0.2871794869999995,1.8571428569999995,1.3532582959345774
20180402,260,"Luis David Martinez",8,"Alejandro Gomez Gb42",0.25638398641343674,0.5128205130000012,0.06837606799999918,0.10714285699999948,1.2435512073122752
20180409,163,"Gonzalo Escobar",8,"Alejandro Gomez Gb42",0.7737977695240694,0.44615384599999963,1.2461538460000003,0.6071428569999995,1.1579811692467405
