id_liga,date_partido,equipo_local,equipo_visitante,goles_local,goles_visitante,resultado,dates,id,name,id,name,player,do,recieve,player,do,recieve
F1,25/02/17,Angers,Bastia,3,0,H,"2017-02-25 00:00:00",1,Angers,2,Bastia,1,1.052631579,1.289473684,2,0.763157895,1.5
F1,22/04/17,Bordeaux,Bastia,2,0,H,"2017-04-22 00:00:00",3,Bordeaux,2,Bastia,3,1.394736842,1.131578947,2,0.763157895,1.5
F1,22/04/17,Bordeaux,Bastia,2,0,H,"2017-04-22 00:00:00",3,Bordeaux,2,Bastia,3,1.394736842,1.131578947,2,0.763157895,1.5
F1,27/08/16,Caen,Bastia,2,0,H,"2016-08-27 00:00:00",4,Caen,2,Bastia,4,0.947368421,1.710526316,2,0.763157895,1.5
F1,27/08/16,Caen,Bastia,2,0,H,"2016-08-27 00:00:00",4,Caen,2,Bastia,4,0.947368421,1.710526316,2,0.763157895,1.5
F1,08/04/17,Dijon,Bastia,1,2,A,"2017-04-08 00:00:00",5,Dijon,2,Bastia,5,1.210526316,1.526315789,2,0.763157895,1.5
F1,08/04/17,Dijon,Bastia,1,2,A,"2017-04-08 00:00:00",5,Dijon,2,Bastia,5,1.210526316,1.526315789,2,0.763157895,1.5
F1,11/03/17,Guingamp,Bastia,5,0,H,"2017-03-11 00:00:00",6,Guingamp,2,Bastia,6,1.210526316,1.394736842,2,0.763157895,1.5
F1,11/03/17,Guingamp,Bastia,5,0,H,"2017-03-11 00:00:00",6,Guingamp,2,Bastia,6,1.210526316,1.394736842,2,0.763157895,1.5
F1,22/10/16,Lille,Bastia,2,1,H,"2016-10-22 00:00:00",7,Lille,2,Bastia,7,1.052631579,1.236842105,2,0.763157895,1.5
F1,22/10/16,Lille,Bastia,2,1,H,"2016-10-22 00:00:00",7,Lille,2,Bastia,7,1.052631579,1.236842105,2,0.763157895,1.5
F1,20/08/16,Lorient,Bastia,0,3,A,"2016-08-20 00:00:00",8,Lorient,2,Bastia,8,1.157894737,1.842105263,2,0.763157895,1.5
F1,20/08/16,Lorient,Bastia,0,3,A,"2016-08-20 00:00:00",8,Lorient,2,Bastia,8,1.157894737,1.842105263,2,0.763157895,1.5
F1,05/11/16,Lyon,Bastia,2,1,H,"2016-11-05 00:00:00",9,Lyon,2,Bastia,9,2.105263158,1.263157895,2,0.763157895,1.5
F1,05/11/16,Lyon,Bastia,2,1,H,"2016-11-05 00:00:00",9,Lyon,2,Bastia,9,2.105263158,1.263157895,2,0.763157895,1.5
F1,20/05/17,Marseille,Bastia,1,0,H,"2017-05-20 00:00:00",10,Marseille,2,Bastia,10,1.5,1.078947368,2,0.763157895,1.5
F1,20/05/17,Marseille,Bastia,1,0,H,"2017-05-20 00:00:00",10,Marseille,2,Bastia,10,1.5,1.078947368,2,0.763157895,1.5
F1,17/03/17,Metz,Bastia,1,0,H,"2017-03-17 00:00:00",11,Metz,2,Bastia,11,1.026315789,1.894736842,2,0.763157895,1.5
F1,17/03/17,Metz,Bastia,1,0,H,"2017-03-17 00:00:00",11,Metz,2,Bastia,11,1.026315789,1.894736842,2,0.763157895,1.5
F1,03/12/16,Monaco,Bastia,5,0,H,"2016-12-03 00:00:00",12,Monaco,2,Bastia,12,2.815789474,0.815789474,2,0.763157895,1.5
F1,03/12/16,Monaco,Bastia,5,0,H,"2016-12-03 00:00:00",12,Monaco,2,Bastia,12,2.815789474,0.815789474,2,0.763157895,1.5
F1,04/02/17,Montpellier,Bastia,2,1,H,"2017-02-04 00:00:00",13,Montpellier,2,Bastia,13,1.263157895,1.736842105,2,0.763157895,1.5
F1,04/02/17,Montpellier,Bastia,2,1,H,"2017-02-04 00:00:00",13,Montpellier,2,Bastia,13,1.263157895,1.736842105,2,0.763157895,1.5
F1,14/01/17,Nancy,Bastia,1,0,H,"2017-01-14 00:00:00",14,Nancy,2,Bastia,14,0.763157895,1.368421053,2,0.763157895,1.5
F1,14/01/17,Nancy,Bastia,1,0,H,"2017-01-14 00:00:00",14,Nancy,2,Bastia,14,0.763157895,1.368421053,2,0.763157895,1.5
F1,01/10/16,Nantes,Bastia,1,0,H,"2016-10-01 00:00:00",15,Nantes,2,Bastia,15,1.052631579,1.421052632,2,0.763157895,1.5
F1,01/10/16,Nantes,Bastia,1,0,H,"2016-10-01 00:00:00",15,Nantes,2,Bastia,15,1.052631579,1.421052632,2,0.763157895,1.5
F1,27/11/16,Nice,Bastia,1,1,D,"2016-11-27 00:00:00",16,Nice,2,Bastia,16,1.657894737,0.947368421,2,0.763157895,1.5
F1,27/11/16,Nice,Bastia,1,1,D,"2016-11-27 00:00:00",16,Nice,2,Bastia,16,1.657894737,0.947368421,2,0.763157895,1.5
F1,06/05/17,"Paris SG",Bastia,5,0,H,"2017-05-06 00:00:00",17,"Paris SG",2,Bastia,17,2.184210526,0.710526316,2,0.763157895,1.5
F1,06/05/17,"Paris SG",Bastia,5,0,H,"2017-05-06 00:00:00",17,"Paris SG",2,Bastia,17,2.184210526,0.710526316,2,0.763157895,1.5
